Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Lewis Dunk,eng ENG,DF,33-331,7.0,3,0,0,5,3,0,0,5,7,0,0,0,26,12,7,63.2,Matches
Jan Paul van Hecke,nl NED,DF,25-132,7.0,2,0,0,4,9,2,3,5,5,0,1,1,21,21,19,52.5,Matches
Bart Verbruggen,nl NED,GK,23-061,7.0,0,0,0,0,0,0,0,0,0,0,0,1,24,2,0,100.0,Matches
Yankuba Minteh,gm GAM,FW,21-088,6.6,0,0,0,6,8,3,25,6,10,0,0,0,29,7,6,53.8,Matches
Kaoru Mitoma,jp JPN,FW,28-151,5.6,1,0,0,11,3,1,8,2,3,0,0,0,13,3,7,30.0,Matches
Carlos Baleba,cm CMR,MF,21-288,3.9,2,0,0,11,5,0,0,8,4,0,0,0,24,9,5,64.3,Matches
Yasin Ayari,se SWE,MF,22-012,6.0,0,0,0,6,10,0,16,8,9,0,0,0,28,1,6,14.3,Matches
Danny Welbeck,eng ENG,FW,34-326,4.1,2,0,0,5,1,0,0,1,1,0,0,0,7,2,7,22.2,Matches
Georginio Rutter,fr FRA,"FW,MF",23-181,4.1,1,0,0,7,9,3,3,1,2,1,0,0,9,3,6,33.3,Matches
Joël Veltman,nl NED,DF,33-276,3.6,2,0,0,2,9,1,3,8,7,0,0,0,12,3,3,50.0,Matches
Maxim De Cuyper,be BEL,DF,24-300,3.3,1,0,0,7,7,1,8,2,4,0,0,0,15,1,4,20.0,Matches
Ferdi Kadioglu,tr TUR,"DF,FW",26-011,4.2,2,0,0,4,6,0,10,0,7,0,0,0,19,2,7,22.2,Matches
Diego Gómez,py PAR,MF,22-205,3.5,2,0,0,8,6,0,4,3,9,0,0,0,12,4,6,40.0,Matches
Mats Wieffer,nl NED,DF,25-336,3.2,3,0,0,6,1,2,3,3,7,0,0,0,15,6,10,37.5,Matches
Brajan Gruda,de GER,"MF,FW",21-140,2.5,0,0,0,2,5,1,5,0,1,0,0,0,15,1,0,100.0,Matches
Matt O'Riley,dk DEN,MF,24-331,2.0,0,0,0,1,0,1,6,0,2,0,0,0,2,1,5,16.7,Matches
Jack Hinshelwood,eng ENG,MF,20-190,1.2,0,0,0,3,1,0,0,0,3,0,0,0,6,2,1,66.7,Matches
James Milner,eng ENG,MF,39-287,1.6,1,0,0,3,2,0,5,2,3,0,0,0,7,1,4,20.0,Matches
Stefanos Tzimas,gr GRE,"MF,FW",19-285,0.6,0,0,0,1,0,0,0,0,2,0,0,0,2,0,1,0.0,Matches
Diego Coppola,it ITA,DF,21-294,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,100.0,Matches
Squad Total,,,26.1,7.0,22,0,0,92,85,15,99,54,86,1,1,2,287,83,104,44.4,
Opponent Total,,,26.4,7.0,20,1,0,87,91,7,111,50,72,1,3,0,272,104,83,55.6,
