Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Nayef Aguerd,ma MAR,DF,29-202,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches
Soungoutou Magassa,fr FRA,MF,22-010,4,2,161.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jean-Clair Todibo,fr FRA,DF,25-292,2,2,126.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Callum Wilson,eng ENG,FW,33-233,5,1,173.0,1.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.1,1.1,0.0,1.1,2.0,1.0,9.0,0.52,0.0,0.52,0.52,0.52,0.57,0.02,0.59,0.57,0.59,Matches
Guido Rodríguez,ar ARG,MF,31-189,1,1,70.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Freddie Potts,eng ENG,MF,22-036,3,0,107.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Luis Guilherme,br BRA,"FW,MF",19-251,3,0,57.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11,Matches
Callum Marshall,nir NIR,FW,20-324,1,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.38,0.38,0.38,Matches
Andy Irving,sct SCO,MF,25-158,4,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.15,Matches
Igor,br BRA,DF,27-253,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Edson Álvarez,mx MEX,"DF,MF",27-359,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Łukasz Fabiański,pl POL,GK,40-183,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Oliver Scarles,eng ENG,MF,19-310,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,27.3,7,77,630.0,7.0,6.0,4.0,10.0,5.0,1.0,1.0,10.0,1.0,6.6,5.8,5.0,10.8,84.0,222.0,218.0,0.86,0.57,1.43,0.71,1.29,0.94,0.72,1.66,0.83,1.55,
Opponent Total,,,26.2,7,77,630.0,7.0,16.0,10.0,26.0,15.0,1.0,1.0,8.0,0.0,11.1,10.3,7.7,18.0,135.0,285.0,282.0,2.29,1.43,3.71,2.14,3.57,1.58,1.1,2.68,1.47,2.57,
