Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Nick Pope,eng ENG,GK,33-182,7,7,630,7.0,5,0.71,24,19,79.2,2,3,2,5,71.4,0,0,0,0,,Matches
Squad Total,,,28.0,7,7,630,7.0,5,0.71,24,19,79.2,2,3,2,5,71.4,0,0,0,0,,
Opponent Total,,,26.7,7,7,630,7.0,6,0.86,25,19,80.0,2,3,2,3,42.9,1,1,0,0,0.0,
