Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Emiliano Martínez,ar ARG,GK,33-046,5,5,450,5.0,4,0.8,13,9,69.2,2,2,1,1,20.0,0,0,0,0,,Matches
Marco Bizot,nl NED,GK,34-222,2,2,180,2.0,3,1.5,7,4,71.4,0,1,1,1,50.0,1,1,0,0,0.0,Matches
Squad Total,,,28.4,7,7,630,7.0,7,1.0,20,13,70.0,2,3,2,2,28.6,1,1,0,0,0.0,
Opponent Total,,,27.3,7,7,630,7.0,6,0.86,23,17,73.9,2,3,2,4,57.1,0,0,0,0,,
