Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Nathan Collins,ie IRL,DF,24-171,7.0,0,3,2,66.7,0.43,0.29,0.0,0.0,8.0,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Sepp van den Berg,nl NED,DF,23-302,7.0,0,4,3,75.0,0.57,0.43,0.0,0.0,7.2,0,0,0,0.9,0.9,0.22,-0.9,-0.9,Matches
Caoimhín Kelleher,ie IRL,GK,26-329,7.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Michael Kayode,it ITA,DF,21-100,6.8,0,1,0,0.0,0.15,0.0,0.0,,12.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Yehor Yarmoliuk,ua UKR,MF,21-231,6.7,0,5,2,40.0,0.75,0.3,0.0,0.0,21.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Thiago,br BRA,FW,24-114,6.2,4,11,5,45.5,1.76,0.8,0.27,0.6,15.5,0,1,1,2.6,1.8,0.16,1.4,1.2,Matches
Kevin Schade,de GER,FW,23-325,6.4,1,9,3,33.3,1.42,0.47,0.11,0.33,13.4,0,0,1,1.7,0.9,0.1,-0.7,0.1,Matches
Jordan Henderson,eng ENG,MF,35-123,5.3,0,1,0,0.0,0.19,0.0,0.0,,14.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Mikkel Damsgaard,dk DEN,MF,25-107,4.6,1,3,1,33.3,0.65,0.22,0.33,1.0,15.4,0,0,0,0.2,0.2,0.08,0.8,0.8,Matches
Keane Lewis-Potter,eng ENG,"DF,FW",24-238,4.4,0,2,0,0.0,0.45,0.0,0.0,,19.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Dango Ouattara,bf BFA,FW,23-249,3.5,1,6,4,66.7,1.72,1.15,0.17,0.25,12.0,0,0,0,1.4,1.4,0.27,-0.4,-0.4,Matches
Aaron Hickey,sct SCO,DF,23-130,2.1,0,1,0,0.0,0.48,0.0,0.0,,30.8,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Mathias Jensen,dk DEN,MF,29-290,2.0,1,2,1,50.0,1.02,0.51,0.5,1.0,19.0,0,0,0,0.2,0.2,0.11,0.8,0.8,Matches
Ethan Pinnock,jm JAM,DF,32-142,1.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rico Henry,eng ENG,DF,28-102,1.9,0,2,0,0.0,1.05,0.0,0.0,,16.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Kristoffer Ajer,no NOR,DF,27-184,1.3,0,2,1,50.0,1.5,0.75,0.0,0.0,11.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Fabio Carvalho,pt POR,"FW,MF",23-049,1.1,1,2,1,50.0,1.86,0.93,0.5,1.0,12.4,0,0,0,0.7,0.7,0.35,0.3,0.3,Matches
Antoni Milambo,nl NED,MF,20-198,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Frank Onyeka,ng NGA,MF,27-290,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Vitaly Janelt,de GER,MF,27-161,0.5,0,1,0,0.0,2.05,0.0,0.0,,16.6,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches
Squad Total,,,25.3,7.0,9,55,23,41.8,7.86,3.29,0.15,0.35,14.6,0,1,2,8.4,6.9,0.13,0.6,1.1,
Opponent Total,,,26.4,7.0,11,92,27,29.3,13.14,3.86,0.11,0.37,17.8,1,1,2,9.6,8.0,0.09,1.4,2.0,
