Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Robin Roefs,nl NED,GK,22-274,7.0,6,0,0,1,0,8.3,0.28,2.3,0.33,34,119,28.6,235,23,36.6,35.4,37,89.2,64.8,115,11,9.6,11,1.57,13.2,Matches
Squad Total,,,25.3,7.0,6,0,0,1,0,8.3,0.28,2.3,0.33,34,119,28.6,214,23,40.2,,58,56.9,44.7,115,11,9.6,11,1.57,,
Opponent Total,,,27.0,7.0,7,1,0,1,0,6.7,0.32,-0.3,-0.04,36,126,28.6,211,27,45.5,37.1,57,52.6,43.1,97,5,5.2,6,0.86,13.0,
