Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Morgan Rogers,eng ENG,"FW,MF",23-084,6.9,0,0,0,7,7,0,5,4,1,0,0,0,22,6,9,40.0,Matches
Matty Cash,pl POL,DF,28-072,6.7,2,0,0,7,6,2,28,5,8,0,0,0,20,5,6,45.5,Matches
Ollie Watkins,eng ENG,FW,29-292,6.6,0,0,0,4,9,6,2,2,2,0,0,0,10,7,14,33.3,Matches
John McGinn,sct SCO,"MF,FW",31-000,6.1,1,0,0,9,11,0,21,6,3,0,0,0,27,4,6,40.0,Matches
Ezri Konsa,eng ENG,DF,27-360,5.7,0,1,0,3,7,0,2,2,1,0,0,0,19,6,3,66.7,Matches
Lucas Digne,fr FRA,DF,32-090,5.4,2,0,0,5,4,2,25,4,5,0,0,0,20,5,8,38.5,Matches
Tyrone Mings,eng ENG,DF,32-219,5.3,0,0,0,3,3,0,1,4,1,0,0,0,16,21,13,61.8,Matches
Emiliano Martínez,ar ARG,GK,33-046,5.0,1,0,0,0,4,0,0,0,0,0,0,0,7,1,0,100.0,Matches
Youri Tielemans,be BEL,MF,28-164,3.5,0,0,0,6,3,0,7,1,4,0,0,0,12,2,4,33.3,Matches
Boubacar Kamara,fr FRA,MF,25-329,3.3,1,0,0,3,7,0,0,3,4,0,0,0,16,15,3,83.3,Matches
Evann Guessand,ci CIV,"FW,MF",24-109,3.1,0,0,0,5,5,0,10,0,5,0,0,0,15,3,5,37.5,Matches
Lamare Bogarde,nl NED,MF,21-286,3.1,1,0,0,6,9,0,0,0,3,0,0,0,9,3,5,37.5,Matches
Emi Buendía,ar ARG,"MF,FW",28-297,3.3,2,0,0,10,5,0,1,1,7,0,0,0,15,4,7,36.4,Matches
Pau Torres,es ESP,DF,28-275,2.8,0,0,0,0,0,0,0,3,4,0,0,0,21,6,5,54.5,Matches
Donyell Malen,nl NED,FW,26-282,2.6,0,0,0,0,2,1,2,0,2,0,0,0,6,1,0,100.0,Matches
Marco Bizot,nl NED,GK,34-222,2.0,1,0,0,1,0,0,0,0,0,0,1,0,4,0,0,,Matches
Amadou Onana,be BEL,MF,24-063,1.7,1,0,0,1,3,0,0,5,2,0,0,0,10,5,1,83.3,Matches
Ian Maatsen,nl NED,DF,23-222,1.6,1,0,0,1,2,1,14,1,2,0,0,0,10,4,3,57.1,Matches
Harvey Elliott,eng ENG,"MF,FW",22-197,1.1,0,0,0,0,2,0,3,0,0,0,0,0,3,0,1,0.0,Matches
Victor Lindelöf,se SWE,"MF,DF",31-093,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
Bradley Paul Burrowes,eng ENG,DF,17-228,0.2,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,,Matches
Jadon Sancho,eng ENG,FW,25-207,0.1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,Matches
Ross Barkley,eng ENG,MF,31-317,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
Squad Total,,,28.4,7.0,13,1,0,71,90,12,126,41,54,0,1,0,265,99,93,51.6,
Opponent Total,,,27.3,7.0,15,1,0,95,71,15,119,68,86,1,0,0,288,93,99,48.4,
