Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
James Garner,eng ENG,"MF,DF",24-219,7,7,630.0,7.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.5,0.5,0.8,1.3,5.0,38.0,12.0,0.14,0.14,0.29,0.14,0.29,0.07,0.12,0.18,0.07,0.18,Matches
Jake O'Brien,ie IRL,DF,24-156,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,8.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.07,0.06,0.07,Matches
Jordan Pickford,eng ENG,GK,31-225,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
James Tarkowski,eng ENG,DF,32-333,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.3,0.7,5.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.04,0.1,0.06,0.1,Matches
Idrissa Gana Gueye,sn SEN,MF,36-022,7,7,615.0,6.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.1,0.9,2.0,38.0,10.0,0.15,0.0,0.15,0.15,0.15,0.11,0.02,0.13,0.11,0.13,Matches
Michael Keane,eng ENG,DF,32-280,7,7,604.0,6.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.1,0.9,1.0,16.0,1.0,0.15,0.0,0.15,0.15,0.15,0.12,0.02,0.13,0.12,0.13,Matches
Iliman Ndiaye,sn SEN,FW,25-226,7,7,586.0,6.5,3.0,1.0,4.0,2.0,1.0,1.0,2.0,0.0,2.2,1.4,1.1,2.5,16.0,10.0,32.0,0.46,0.15,0.61,0.31,0.46,0.33,0.18,0.51,0.21,0.39,Matches
Jack Grealish,eng ENG,FW,30-038,7,6,556.0,6.2,1.0,4.0,5.0,1.0,0.0,0.0,2.0,0.0,0.9,0.9,2.4,3.3,49.0,29.0,63.0,0.16,0.65,0.81,0.16,0.81,0.15,0.39,0.54,0.15,0.54,Matches
Kiernan Dewsbury-Hall,eng ENG,MF,27-042,6,6,540.0,6.0,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.4,0.4,1.8,2.2,10.0,34.0,24.0,0.17,0.17,0.33,0.17,0.33,0.07,0.3,0.37,0.07,0.37,Matches
