Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Nathan Collins,ie IRL,DF,24-171,7.0,6,0.86,5,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Sepp van den Berg,nl NED,DF,23-302,7.0,2,0.29,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Caoimhín Kelleher,ie IRL,GK,26-329,7.0,2,0.29,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Michael Kayode,it ITA,DF,21-100,6.8,5,0.73,1,4,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Yehor Yarmoliuk,ua UKR,MF,21-231,6.7,8,1.2,6,0,1,0,0,1,3,0.45,2,0,1,0,0,0,Matches
Thiago,br BRA,FW,24-114,6.2,9,1.44,7,0,0,2,0,0,1,0.16,1,0,0,0,0,0,Matches
Kevin Schade,de GER,FW,23-325,6.4,9,1.42,5,1,0,1,2,0,1,0.16,0,1,0,0,0,0,Matches
Jordan Henderson,eng ENG,MF,35-123,5.3,8,1.51,8,0,0,0,0,0,2,0.38,2,0,0,0,0,0,Matches
Mikkel Damsgaard,dk DEN,MF,25-107,4.6,13,2.83,7,4,2,0,0,0,1,0.22,1,0,0,0,0,0,Matches
Keane Lewis-Potter,eng ENG,"DF,FW",24-238,4.4,2,0.45,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Dango Ouattara,bf BFA,FW,23-249,3.5,5,1.43,3,0,1,1,0,0,1,0.29,0,0,0,1,0,0,Matches
Aaron Hickey,sct SCO,DF,23-130,2.1,2,0.96,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mathias Jensen,dk DEN,MF,29-290,2.0,5,2.56,3,1,0,1,0,0,1,0.51,1,0,0,0,0,0,Matches
Ethan Pinnock,jm JAM,DF,32-142,1.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Rico Henry,eng ENG,DF,28-102,1.9,3,1.56,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Kristoffer Ajer,no NOR,DF,27-184,1.3,1,0.75,1,0,0,0,0,0,1,0.75,1,0,0,0,0,0,Matches
Fabio Carvalho,pt POR,"FW,MF",23-049,1.1,3,2.78,1,1,1,0,0,0,1,0.93,0,1,0,0,0,0,Matches
Antoni Milambo,nl NED,MF,20-198,0.5,1,2.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Frank Onyeka,ng NGA,MF,27-290,1.0,1,0.98,1,0,0,0,0,0,1,0.98,1,0,0,0,0,0,Matches
Vitaly Janelt,de GER,MF,27-161,0.5,3,6.14,1,1,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,25.3,7.0,88,12.57,57,15,6,6,3,1,13,1.86,9,2,1,1,0,0,
Opponent Total,,,26.4,7.0,169,24.14,133,9,6,13,5,3,20,2.86,15,0,1,2,2,0,
