Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Lewis Dunk,eng ENG,DF,33-331,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.0,0.4,2.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches
Jan Paul van Hecke,nl NED,DF,25-132,7,7,630.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.4,0.4,0.0,0.4,19.0,53.0,3.0,0.14,0.0,0.14,0.14,0.14,0.06,0.0,0.06,0.06,0.06,Matches
Bart Verbruggen,nl NED,GK,23-061,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches
Yankuba Minteh,gm GAM,FW,21-088,7,7,591.0,6.6,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.6,1.6,2.0,3.6,37.0,7.0,59.0,0.15,0.3,0.46,0.15,0.46,0.24,0.31,0.55,0.24,0.55,Matches
Kaoru Mitoma,jp JPN,FW,28-151,6,6,508.0,5.6,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,1.1,1.8,13.0,13.0,37.0,0.18,0.18,0.35,0.18,0.35,0.13,0.19,0.32,0.13,0.32,Matches
Carlos Baleba,cm CMR,MF,21-288,7,6,353.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.1,4.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches
Yasin Ayari,se SWE,MF,22-012,7,5,544.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.7,2.0,21.0,9.0,0.17,0.0,0.17,0.17,0.17,0.08,0.04,0.11,0.08,0.11,Matches
Danny Welbeck,eng ENG,FW,34-326,7,4,368.0,4.1,2.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,2.5,1.7,0.1,1.7,1.0,4.0,9.0,0.49,0.0,0.49,0.49,0.49,0.6,0.02,0.62,0.41,0.43,Matches
Georginio Rutter,fr FRA,"FW,MF",23-181,6,4,367.0,4.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,1.2,1.5,7.0,15.0,17.0,0.0,0.25,0.25,0.0,0.25,0.07,0.3,0.37,0.07,0.37,Matches
Joël Veltman,nl NED,DF,33-276,4,4,324.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Maxim De Cuyper,be BEL,DF,24-300,6,4,296.0,3.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,0.1,0.8,1.0,12.0,10.0,0.3,0.0,0.3,0.3,0.3,0.2,0.04,0.24,0.2,0.24,Matches
Ferdi Kadioglu,tr TUR,"DF,FW",26-011,6,3,377.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.4,0.5,12.0,24.0,16.0,0.0,0.0,0.0,0.0,0.0,0.03,0.09,0.12,0.03,0.12,Matches
Diego Gómez,py PAR,MF,22-205,6,3,311.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.4,0.6,2.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.07,0.12,0.19,0.07,0.19,Matches
