Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Dan Burn,eng ENG,DF,33-162,7,7,630.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,0.1,2.0,22.0,7.0,0.0,0.14,0.14,0.0,0.14,0.01,0.01,0.02,0.01,0.02,Matches
Nick Pope,eng ENG,GK,33-182,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Sandro Tonali,it ITA,MF,25-163,7,7,605.0,6.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.3,1.6,14.0,49.0,14.0,0.0,0.15,0.15,0.0,0.15,0.05,0.19,0.24,0.05,0.24,Matches
Bruno Guimarães,br BRA,MF,27-336,6,6,540.0,6.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.3,0.3,0.2,0.6,6.0,38.0,15.0,0.33,0.0,0.33,0.33,0.33,0.05,0.04,0.09,0.05,0.09,Matches
Valentino Livramento,eng ENG,DF,22-340,6,6,526.0,5.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,14.0,24.0,38.0,0.0,0.17,0.17,0.0,0.17,0.0,0.03,0.03,0.0,0.03,Matches
Kieran Trippier,eng ENG,DF,35-029,6,5,429.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,8.0,50.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.13,Matches
Joelinton,br BRA,MF,29-065,5,5,399.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.8,1.4,8.0,19.0,17.0,0.0,0.0,0.0,0.0,0.0,0.13,0.18,0.31,0.13,0.31,Matches
Fabian Schär,ch SUI,DF,33-302,4,4,350.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,3.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,Matches
Sven Botman,nl NED,DF,25-279,5,4,338.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07,Matches
