Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Tijjani Reijnders,nl NED,MF,27-081,7,607,87,96.3,6.7,7,87,5,0,,0,1.86,13,6,+7,+1.04,-6.79,11.3,7.0,+4.4,+0.65,-1.85,Matches
Erling Haaland,no NOR,FW,25-089,7,593,85,94.1,6.6,7,85,4,0,,0,1.86,14,5,+9,+1.37,+1.37,11.4,6.6,+4.9,+0.74,+0.40,Matches
Rúben Dias,pt POR,DF,28-157,7,546,78,86.7,6.1,6,90,6,1,6,0,1.86,14,5,+9,+1.48,+1.48,10.3,5.9,+4.4,+0.73,+0.10,Matches
Nico O’Reilly,eng ENG,"DF,MF",20-211,6,392,65,62.2,4.4,4,87,2,2,22,1,2.17,9,2,+7,+1.61,+0.85,6.0,4.4,+1.6,+0.36,-0.94,Matches
Jeremy Doku,be BEL,"MF,FW",23-144,7,388,55,61.6,4.3,4,79,1,3,24,0,1.86,12,2,+10,+2.32,+2.69,7.9,3.4,+4.5,+1.05,+0.88,Matches
Bernardo Silva,pt POR,MF,31-069,7,373,53,59.2,4.1,4,78,1,3,20,0,1.86,10,2,+8,+1.93,+1.58,8.2,4.0,+4.2,+1.02,+0.74,Matches
Oscar Bobb,no NOR,"FW,MF",22-098,6,362,60,57.5,4.0,4,82,2,2,17,1,2.00,9,4,+5,+1.24,-0.10,7.5,4.2,+3.3,+0.81,+0.23,Matches
Gianluigi Donnarumma,it ITA,GK,26-235,4,360,90,57.1,4.0,4,90,4,0,,0,2.50,10,2,+8,+2.00,+1.67,6.3,3.2,+3.1,+0.78,+0.16,Matches
Phil Foden,eng ENG,MF,25-143,5,353,71,56.0,3.9,4,84,3,1,16,0,2.00,10,1,+9,+2.29,+2.29,6.3,3.3,+3.0,+0.77,+0.14,Matches
Joško Gvardiol,hr CRO,DF,23-268,4,339,85,53.8,3.8,4,85,3,0,,0,2.50,8,2,+6,+1.59,+0.67,5.4,3.2,+2.2,+0.59,-0.26,Matches
Rodri,es ESP,MF,29-118,5,292,58,46.3,3.2,4,69,2,1,16,0,1.40,6,3,+3,+0.92,-0.67,5.8,3.6,+2.2,+0.67,-0.09,Matches
Nicolás González,es ESP,MF,23-288,6,353,59,56.0,3.9,3,85,2,3,33,1,2.17,9,4,+5,+1.27,-0.02,6.5,3.7,+2.8,+0.72,+0.03,Matches
Matheus Nunes,pt POR,DF,27-052,5,334,67,53.0,3.7,3,88,2,2,35,2,2.00,8,3,+5,+1.35,+0.13,5.1,3.0,+2.0,+0.55,-0.35,Matches
James Trafford,eng ENG,GK,23-008,3,270,90,42.9,3.0,3,90,3,0,,4,1.00,5,4,+1,+0.33,-1.67,5.8,3.9,+1.9,+0.62,-0.16,Matches
John Stones,eng ENG,DF,31-143,4,265,66,42.1,2.9,3,87,2,1,4,2,1.00,5,5,0,0.00,-2.22,5.6,4.0,+1.6,+0.53,-0.31,Matches
,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Abdukodir Khusanov,uz UZB,DF,21-231,4,228,57,36.2,2.5,3,73,1,1,9,1,1.75,5,1,+4,+1.58,+0.46,5.2,2.8,+2.4,+0.94,+0.36,Matches
Rayan Aït-Nouri,dz ALG,DF,24-134,3,202,67,32.1,2.2,3,67,2,0,,0,1.00,5,2,+3,+1.34,+0.07,4.3,2.9,+1.4,+0.63,-0.12,Matches
Rico Lewis,eng ENG,DF,20-331,4,169,42,26.8,1.9,2,78,1,2,7,3,1.50,5,3,+2,+1.07,-0.30,4.6,2.5,+2.0,+1.08,+0.50,Matches
Sávio,br BRA,MF,21-191,4,169,42,26.8,1.9,2,76,1,2,9,0,2.50,3,2,+1,+0.53,-1.03,2.0,2.4,-0.4,-0.20,-1.25,Matches
Omar Marmoush,eg EGY,"FW,MF",26-253,3,149,50,23.7,1.7,2,62,0,1,25,0,1.00,2,3,-1,-0.60,-2.48,3.2,1.9,+1.3,+0.78,+0.09,Matches
Rayan Cherki,fr FRA,"MF,FW",22-062,2,71,36,11.3,0.8,1,53,0,1,18,1,1.50,1,2,-1,-1.27,-2.88,1.5,0.8,+0.7,+0.90,+0.21,Matches
Nathan Aké,nl NED,DF,30-242,4,115,29,18.3,1.3,0,,0,4,29,3,1.75,2,3,-1,-0.78,-2.53,2.8,1.4,+1.4,+1.09,+0.47,Matches
Manuel Akanji,ch SUI,"DF,MF",30-091,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Ederson,br BRA,GK,32-062,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
İlkay Gündoğan,de GER,MF,34-359,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Mateo Kovačić,hr CRO,MF,31-165,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Ryan Mcaidoo,eng ENG,FW,17-116,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Stephen Mfuni,eng ENG,DF,17-248,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Divine Mukasa,eng ENG,MF,18-057,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Stefan Ortega,de GER,GK,32-346,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
