Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Martin Dúbravka,sk SVK,GK,36-276,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kyle Walker,eng ENG,DF,35-143,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,8.0,18.0,11.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
Quilindschy Hartman,nl NED,DF,23-338,7,7,627.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.6,0.8,1.0,14.0,18.0,0.0,0.29,0.29,0.0,0.29,0.02,0.09,0.11,0.02,0.11,Matches
Maxime Estève,fr FRA,DF,23-145,7,7,621.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches
Josh Cullen,ie IRL,MF,29-194,7,7,590.0,6.6,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.8,0.9,2.0,34.0,5.0,0.15,0.15,0.31,0.15,0.31,0.02,0.12,0.14,0.02,0.14,Matches
Jaidon Anthony,eng ENG,"MF,FW",25-321,7,7,587.0,6.5,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,2.1,2.1,0.3,2.4,14.0,11.0,32.0,0.61,0.15,0.77,0.61,0.77,0.32,0.05,0.37,0.32,0.37,Matches
Lyle Foster,za RSA,FW,25-045,7,7,565.0,6.3,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.9,0.9,0.6,1.6,7.0,6.0,30.0,0.16,0.16,0.32,0.16,0.32,0.15,0.1,0.25,0.15,0.25,Matches
Hjalmar Ekdal,se SWE,DF,26-362,6,6,532.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.06,0.03,0.06,Matches
Josh Laurent,eng ENG,"DF,MF",30-165,7,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.2,0.3,5.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches
Loum Tchaouna,fr FRA,MF,22-040,7,4,312.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.4,4.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.13,0.09,0.13,Matches
Florentino Luís,pt POR,MF,26-060,4,3,298.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,1.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches
Lesley Ugochukwu,fr FRA,MF,21-206,6,3,288.0,3.2,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.3,0.3,0.0,0.3,0.0,6.0,4.0,0.31,0.0,0.31,0.31,0.31,0.09,0.01,0.1,0.09,0.1,Matches
Hannibal Mejbri,tn TUN,MF,22-270,6,3,249.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.5,6.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.06,0.13,0.19,0.06,0.19,Matches
