Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Mads Hermansen,dk DEN,GK,25-099,4,4,360,4.0,11,2.75,20,9,45.0,1,0,3,1,25.0,0,0,0,0,,Matches
Alphonse Areola,fr FRA,GK,32-233,3,3,270,3.0,5,1.67,14,9,71.4,0,1,2,0,0.0,1,1,0,0,0.0,Matches
Squad Total,,,27.3,7,7,630,7.0,16,2.29,34,18,55.9,1,1,5,1,14.3,1,1,0,0,0.0,
Opponent Total,,,26.2,7,7,630,7.0,6,0.86,25,19,80.0,5,1,1,3,42.9,1,1,0,0,0.0,
