Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Morgan Rogers,eng ENG,"FW,MF",23-084,6.9,5,1,0,4,1,2,5,40.0,3,3,0,3,4,9,6,0,Matches
Matty Cash,pl POL,DF,28-072,6.7,13,8,8,5,0,7,14,50.0,7,10,7,3,5,18,19,0,Matches
Ollie Watkins,eng ENG,FW,29-292,6.6,4,2,1,1,2,1,2,50.0,1,4,0,4,2,6,2,0,Matches
John McGinn,sct SCO,"MF,FW",31-000,6.1,5,3,2,3,0,0,4,0.0,4,5,2,3,6,11,2,0,Matches
Ezri Konsa,eng ENG,DF,27-360,5.7,2,1,1,1,0,0,1,0.0,1,9,5,4,2,4,18,0,Matches
Lucas Digne,fr FRA,DF,32-090,5.4,6,5,5,1,0,6,12,50.0,6,2,0,2,4,10,17,0,Matches
Tyrone Mings,eng ENG,DF,32-219,5.3,2,1,1,1,0,0,1,0.0,1,6,5,1,4,6,30,0,Matches
Emiliano Martínez,ar ARG,GK,33-046,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1,Matches
Youri Tielemans,be BEL,MF,28-164,3.5,5,4,1,4,0,2,4,50.0,2,4,1,3,1,6,2,0,Matches
Boubacar Kamara,fr FRA,MF,25-329,3.3,7,4,5,1,1,3,6,50.0,3,5,2,3,3,10,8,0,Matches
Evann Guessand,ci CIV,"FW,MF",24-109,3.1,11,5,4,6,1,1,2,50.0,1,8,1,7,0,11,4,0,Matches
Lamare Bogarde,nl NED,MF,21-286,3.1,4,3,2,1,1,1,3,33.3,2,2,1,1,0,4,3,1,Matches
Emi Buendía,ar ARG,"MF,FW",28-297,3.3,10,7,4,5,1,4,9,44.4,5,7,1,6,1,11,7,0,Matches
Pau Torres,es ESP,DF,28-275,2.8,6,4,5,1,0,3,5,60.0,2,2,2,0,3,9,13,0,Matches
Donyell Malen,nl NED,FW,26-282,2.6,2,2,0,1,1,1,2,50.0,1,2,0,2,0,2,3,0,Matches
Marco Bizot,nl NED,GK,34-222,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
Amadou Onana,be BEL,MF,24-063,1.7,4,2,1,3,0,2,3,66.7,1,2,2,0,5,9,2,0,Matches
Ian Maatsen,nl NED,DF,23-222,1.6,2,2,1,0,1,2,2,100.0,0,0,0,0,1,3,9,0,Matches
Harvey Elliott,eng ENG,"MF,FW",22-197,1.1,0,0,0,0,0,0,0,,0,4,1,3,0,0,1,0,Matches
Victor Lindelöf,se SWE,"MF,DF",31-093,0.3,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,Matches
Bradley Paul Burrowes,eng ENG,DF,17-228,0.2,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,Matches
Jadon Sancho,eng ENG,FW,25-207,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Ross Barkley,eng ENG,MF,31-317,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Squad Total,,,28.4,7.0,88,54,41,38,9,35,77,45.5,42,77,30,47,41,129,153,2,
Opponent Total,,,27.3,7.0,150,86,70,61,19,72,109,66.1,37,75,25,50,68,218,199,4,
