Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Matthijs de Ligt,nl NED,DF,26-067,7.0,3,0.43,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Bruno Fernandes,pt POR,MF,31-040,7.0,43,6.18,30,7,1,4,1,0,0,0.0,0,0,0,0,0,0,Matches
Luke Shaw,eng ENG,DF,30-098,6.7,4,0.6,3,0,0,1,0,0,1,0.15,0,0,0,1,0,0,Matches
Bryan Mbeumo,cm CMR,MF,26-072,6.6,23,3.48,10,7,0,3,3,0,1,0.15,1,0,0,0,0,0,Matches
Altay Bayındır,tr TUR,GK,27-187,6.0,3,0.5,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Patrick Dorgu,dk DEN,DF,20-357,5.2,13,2.48,12,0,1,0,0,0,1,0.19,1,0,0,0,0,0,Matches
Leny Yoro,fr FRA,DF,19-339,5.0,7,1.4,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Amad Diallo,ci CIV,"DF,MF",23-099,5.0,25,5.03,16,0,2,3,3,1,4,0.81,3,0,0,0,1,0,Matches
Casemiro,br BRA,MF,33-237,3.6,5,1.38,4,0,0,0,0,1,1,0.28,1,0,0,0,0,0,Matches
Benjamin Šeško,si SVN,FW,22-140,4.3,11,2.56,8,0,0,2,0,1,1,0.23,0,0,0,1,0,0,Matches
Matheus Cunha,br BRA,"MF,FW",26-144,3.9,16,4.09,8,0,4,3,1,0,0,0.0,0,0,0,0,0,0,Matches
Diogo Dalot,pt POR,DF,26-214,3.7,13,3.48,11,0,1,0,1,0,2,0.54,1,0,1,0,0,0,Matches
Mason Mount,eng ENG,MF,26-281,3.0,9,2.98,8,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Manuel Ugarte,uy URU,MF,24-190,2.7,3,1.11,2,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Harry Maguire,eng ENG,DF,32-227,2.0,4,1.96,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Noussair Mazraoui,ma MAR,DF,27-338,1.5,4,2.75,4,0,0,0,0,0,1,0.69,1,0,0,0,0,0,Matches
Senne Lammens,be BEL,GK,23-103,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Kobbie Mainoo,eng ENG,MF,20-182,1.3,5,3.85,4,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Joshua Zirkzee,nl NED,"FW,MF",24-149,0.9,4,4.68,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Ayden Heaven,eng ENG,DF,19-026,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,26.3,7.0,195,27.86,138,14,9,20,10,4,12,1.71,8,0,1,2,1,0,
Opponent Total,,,26.1,7.0,109,15.57,74,13,8,7,3,4,19,2.71,13,1,3,1,0,1,
