Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Marc Guéhi,eng ENG,DF,25-097,7.0,1,5,2,40.0,0.71,0.29,0.2,0.5,9.7,0,0,0,0.6,0.6,0.12,0.4,0.4,Matches
Dean Henderson,eng ENG,GK,28-220,7.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Maxence Lacroix,fr FRA,DF,25-195,7.0,0,2,1,50.0,0.29,0.14,0.0,0.0,6.4,0,0,0,0.3,0.3,0.15,-0.3,-0.3,Matches
Tyrick Mitchell,eng ENG,"DF,MF",26-047,7.0,1,4,2,50.0,0.57,0.29,0.25,0.5,15.5,0,0,0,0.4,0.4,0.09,0.6,0.6,Matches
Daniel Muñoz,co COL,"DF,MF",29-145,7.0,1,10,4,40.0,1.43,0.57,0.1,0.25,13.2,0,0,0,0.8,0.8,0.08,0.2,0.2,Matches
Chris Richards,us USA,DF,25-204,7.0,0,3,0,0.0,0.43,0.0,0.0,,8.7,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
Jean-Philippe Mateta,fr FRA,FW,28-112,6.7,2,16,9,56.3,2.4,1.35,0.06,0.11,15.8,0,1,1,4.1,3.3,0.21,-2.1,-2.3,Matches
Adam Wharton,eng ENG,MF,21-254,5.0,0,3,0,0.0,0.6,0.0,0.0,,26.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Daichi Kamada,jp JPN,MF,29-074,4.8,0,5,2,40.0,1.03,0.41,0.0,0.0,19.4,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
Ismaila Sarr,sn SEN,"MF,FW",27-235,4.8,3,7,3,42.9,1.46,0.63,0.43,1.0,7.5,0,0,0,2.9,2.9,0.42,0.1,0.1,Matches
Will Hughes,eng ENG,MF,30-184,4.6,0,3,0,0.0,0.66,0.0,0.0,,18.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Yeremi Pino,es ESP,MF,22-363,3.4,0,8,2,25.0,2.34,0.58,0.0,0.0,19.4,0,0,0,1.1,1.1,0.14,-1.1,-1.1,Matches
Jefferson Lerma,co COL,MF,30-358,2.1,0,6,2,33.3,2.92,0.97,0.0,0.0,24.2,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
Justin Devenny,nir NIR,"MF,FW",22-007,1.7,0,5,2,40.0,3.02,1.21,0.0,0.0,14.7,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
Eberechi Eze,eng ENG,MF,27-111,0.9,0,6,2,33.3,6.51,2.17,0.0,0.0,32.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Eddie Nketiah,eng ENG,"MF,FW",26-141,0.6,1,3,1,33.3,5.09,1.7,0.33,1.0,11.0,0,0,0,0.6,0.6,0.2,0.4,0.4,Matches
Romain Esse,eng ENG,FW,20-158,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Christantus Uche,ng NGA,MF,22-152,0.1,0,1,1,100.0,9.0,9.0,0.0,0.0,12.6,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Nathaniel Clyne,eng ENG,DF,34-196,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Odsonne Édouard,fr FRA,FW,27-275,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,26.8,7.0,9,87,33,37.9,12.43,4.71,0.09,0.24,16.4,0,1,1,12.7,11.9,0.14,-3.7,-3.9,
Opponent Total,,,26.8,7.0,5,88,20,22.7,12.57,2.86,0.05,0.2,15.7,2,1,1,8.7,7.9,0.09,-3.7,-3.9,
