Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Nathan Collins,ie IRL,DF,24-171,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.5,0.7,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.1,0.02,0.1,Matches
Sepp van den Berg,nl NED,DF,23-302,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.1,1.0,2.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.12,0.02,0.14,0.12,0.14,Matches
Caoimhín Kelleher,ie IRL,GK,26-329,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Michael Kayode,it ITA,DF,21-100,7,7,616.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,11.0,14.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches
Yehor Yarmoliuk,ua UKR,MF,21-231,7,7,601.0,6.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.2,0.4,7.0,17.0,7.0,0.0,0.15,0.15,0.0,0.15,0.03,0.03,0.06,0.03,0.06,Matches
Thiago,br BRA,FW,24-114,7,7,562.0,6.2,4.0,0.0,4.0,3.0,1.0,1.0,2.0,0.0,2.6,1.8,1.1,2.8,4.0,6.0,15.0,0.64,0.0,0.64,0.48,0.48,0.41,0.17,0.58,0.28,0.46,Matches
Kevin Schade,de GER,FW,23-325,7,6,572.0,6.4,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.7,0.9,0.6,1.6,10.0,2.0,18.0,0.16,0.0,0.16,0.16,0.16,0.27,0.1,0.37,0.15,0.24,Matches
Jordan Henderson,eng ENG,MF,35-123,7,6,476.0,5.3,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.6,3.0,24.0,3.0,0.0,0.38,0.38,0.0,0.38,0.01,0.1,0.1,0.01,0.1,Matches
Mikkel Damsgaard,dk DEN,MF,25-107,5,5,413.0,4.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.7,8.0,19.0,14.0,0.22,0.0,0.22,0.22,0.22,0.05,0.09,0.15,0.05,0.15,Matches
Keane Lewis-Potter,eng ENG,"DF,FW",24-238,6,5,399.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2,5.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches
Dango Ouattara,bf BFA,FW,23-249,6,3,314.0,3.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.4,1.4,0.2,1.6,9.0,1.0,22.0,0.29,0.0,0.29,0.29,0.29,0.4,0.06,0.46,0.4,0.46,Matches
Aaron Hickey,sct SCO,DF,23-130,5,2,187.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
Mathias Jensen,dk DEN,MF,29-290,5,2,176.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,3.0,11.0,2.0,0.51,0.0,0.51,0.51,0.51,0.11,0.1,0.21,0.11,0.21,Matches
Ethan Pinnock,jm JAM,DF,32-142,2,2,155.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rico Henry,eng ENG,DF,28-102,6,1,172.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.3,12.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.13,0.07,0.13,Matches
Kristoffer Ajer,no NOR,DF,27-184,4,1,120.0,1.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.7,0.8,0.0,6.0,0.0,0.0,0.75,0.75,0.0,0.75,0.07,0.5,0.57,0.07,0.57,Matches
Fabio Carvalho,pt POR,"FW,MF",23-049,5,1,97.0,1.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.7,2.0,2.0,5.0,0.93,0.0,0.93,0.93,0.93,0.65,0.0,0.65,0.65,0.65,Matches
Antoni Milambo,nl NED,MF,20-198,1,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
