Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Morgan Rogers,eng ENG,"FW,MF",23-084,7,7,621.0,6.9,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.5,12.0,22.0,40.0,0.0,0.29,0.29,0.0,0.29,0.07,0.15,0.21,0.07,0.21,Matches
Matty Cash,pl POL,DF,28-072,7,7,606.0,6.7,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.1,0.1,0.4,0.5,11.0,26.0,32.0,0.15,0.0,0.15,0.15,0.15,0.01,0.07,0.08,0.01,0.08,Matches
Ollie Watkins,eng ENG,FW,29-292,7,7,598.0,6.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.5,1.5,0.4,1.9,10.0,7.0,40.0,0.15,0.0,0.15,0.15,0.15,0.23,0.05,0.28,0.23,0.28,Matches
John McGinn,sct SCO,"MF,FW",31-000,7,7,546.0,6.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.8,1.4,9.0,25.0,16.0,0.16,0.0,0.16,0.16,0.16,0.1,0.14,0.24,0.1,0.24,Matches
Ezri Konsa,eng ENG,DF,27-360,6,6,515.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,4.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,Matches
Lucas Digne,fr FRA,DF,32-090,7,6,488.0,5.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.6,0.9,6.0,10.0,41.0,0.0,0.18,0.18,0.0,0.18,0.05,0.11,0.16,0.05,0.16,Matches
Tyrone Mings,eng ENG,DF,32-219,6,6,481.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,1.0,27.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.07,0.05,0.07,Matches
Emiliano Martínez,ar ARG,GK,33-046,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Youri Tielemans,be BEL,MF,28-164,4,4,315.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,8.0,21.0,10.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.04,0.09,Matches
Boubacar Kamara,fr FRA,MF,25-329,5,4,295.0,3.3,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.3,3.0,25.0,0.0,0.0,0.61,0.61,0.0,0.61,0.02,0.08,0.1,0.02,0.1,Matches
Evann Guessand,ci CIV,"FW,MF",24-109,6,3,283.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,10.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches
Lamare Bogarde,nl NED,MF,21-286,6,3,281.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
