Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Emiliano Martínez,ar ARG,GK,33-046,5.0,4,0,0,2,0,3.3,0.28,-0.7,-0.14,21,52,40.4,180,19,23.9,29.3,14,64.3,52.0,65,4,6.2,6,1.2,14.4,Matches
Marco Bizot,nl NED,GK,34-222,2.0,3,1,0,0,0,3.1,0.33,0.1,0.05,7,27,25.9,53,8,30.2,32.2,14,78.6,53.5,28,4,14.3,10,5.0,18.4,Matches
Squad Total,,,28.4,7.0,7,1,0,2,0,6.4,0.3,-0.6,-0.09,28,79,35.4,197,27,29.9,29.3,64,31.3,28.0,93,8,8.6,16,2.29,14.4,
Opponent Total,,,27.3,7.0,6,0,0,1,0,5.3,0.23,-0.7,-0.09,36,105,34.3,172,32,39.0,36.3,51,74.5,52.2,92,12,13.0,8,1.14,13.5,
