Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Dan Burn,eng ENG,DF,33-162,7.0,374,36,177,156,45,14,374,2,2,100.0,0,0.0,170,689,314,2,1,0,4,0,189,7,Matches
Nick Pope,eng ENG,GK,33-182,7.0,218,165,213,6,0,0,218,0,0,,0,,121,647,356,0,0,0,0,0,76,0,Matches
Sandro Tonali,it ITA,MF,25-163,6.7,459,12,89,254,124,6,459,9,5,55.6,3,33.3,242,1358,693,14,12,3,9,0,297,14,Matches
Bruno Guimarães,br BRA,MF,27-336,6.0,324,13,53,164,110,8,324,12,3,25.0,7,58.3,220,935,420,6,6,2,15,11,239,15,Matches
Valentino Livramento,eng ENG,DF,22-340,5.8,333,19,79,140,119,8,333,18,6,33.3,9,50.0,189,1013,587,14,10,3,7,5,190,38,Matches
Kieran Trippier,eng ENG,DF,35-029,4.8,411,11,93,195,124,2,411,1,0,0.0,1,100.0,202,725,417,8,7,0,2,2,230,25,Matches
Joelinton,br BRA,MF,29-065,4.4,177,7,30,100,49,15,177,3,0,0.0,2,66.7,92,439,229,8,1,1,3,4,120,17,Matches
Fabian Schär,ch SUI,DF,33-302,3.9,273,39,146,108,20,4,273,0,0,,0,,175,666,394,3,1,0,3,0,187,1,Matches
Sven Botman,nl NED,DF,25-279,3.8,248,51,149,96,5,4,248,1,1,100.0,0,0.0,131,538,214,0,1,1,1,0,135,0,Matches
Jacob Murphy,eng ENG,"FW,MF",30-236,3.5,149,7,18,40,96,15,149,14,7,50.0,6,42.9,98,548,239,7,5,4,6,1,107,41,Matches
Nick Woltemade,de GER,FW,23-246,3.4,91,0,3,44,47,14,90,3,1,33.3,2,66.7,53,221,62,2,2,1,13,9,71,16,Matches
Anthony Gordon,eng ENG,FW,24-236,3.0,120,1,9,48,64,15,120,12,6,50.0,3,25.0,73,429,205,8,5,3,9,2,72,14,Matches
Anthony Elanga,se SWE,"FW,MF",23-174,3.7,164,4,16,48,100,18,164,12,2,16.7,8,66.7,105,544,264,14,6,6,10,4,120,44,Matches
Harvey Barnes,eng ENG,"FW,MF",27-313,3.5,130,4,10,40,81,19,130,6,0,0.0,5,83.3,98,574,297,14,4,5,9,3,100,33,Matches
Malick Thiaw,de GER,DF,24-071,3.0,147,23,68,71,9,6,147,0,0,,0,,71,311,201,3,2,0,1,0,77,0,Matches
Lewis Miley,eng ENG,MF,19-170,1.9,115,3,29,60,27,2,115,0,0,,0,,75,231,100,1,2,0,1,1,75,5,Matches
William Osula,dk DEN,FW,22-075,1.8,47,2,7,28,13,5,47,5,2,40.0,2,40.0,29,121,26,1,0,1,6,1,34,10,Matches
Lewis Hall,eng ENG,DF,21-040,1.5,100,5,26,48,27,2,100,7,2,28.6,2,28.6,53,201,72,0,0,0,3,4,60,7,Matches
Joe Willock,eng ENG,MF,26-059,1.0,36,1,11,15,12,2,36,3,2,66.7,1,33.3,20,151,61,3,1,1,4,1,20,4,Matches
Jacob Ramsey,eng ENG,MF,24-143,0.7,37,1,6,17,14,3,37,1,1,100.0,0,0.0,21,136,67,3,2,1,0,0,20,4,Matches
Jamaal Lascelles,eng ENG,DF,31-341,0.2,14,3,11,1,2,2,14,0,0,,0,,3,16,1,0,0,0,0,0,7,1,Matches
Squad Total,,,28.0,7.0,3967,407,1243,1679,1088,164,3966,109,40,36.7,51,46.8,2241,10493,5219,111,68,32,106,48,2426,296,
Opponent Total,,,26.7,7.0,4050,501,1432,1790,870,141,4050,116,59,50.9,43,37.1,2277,10824,5301,91,82,26,113,46,2497,245,
