Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Matthijs de Ligt,nl NED,DF,26-067,7.0,0,5,1,20.0,0.71,0.14,0.0,0.0,10.2,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
Bruno Fernandes,pt POR,MF,31-040,7.0,2,13,4,30.8,1.87,0.58,0.08,0.25,24.2,2,1,3,3.7,1.3,0.1,-1.7,-0.3,Matches
Luke Shaw,eng ENG,DF,30-098,6.7,0,1,0,0.0,0.15,0.0,0.0,,8.9,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
Bryan Mbeumo,cm CMR,MF,26-072,6.6,1,17,7,41.2,2.57,1.06,0.06,0.14,15.6,0,0,0,1.9,1.9,0.11,-0.9,-0.9,Matches
Altay Bayındır,tr TUR,GK,27-187,6.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Patrick Dorgu,dk DEN,DF,20-357,5.2,0,4,0,0.0,0.76,0.0,0.0,,21.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Leny Yoro,fr FRA,DF,19-339,5.0,0,3,0,0.0,0.6,0.0,0.0,,8.2,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
Amad Diallo,ci CIV,"DF,MF",23-099,5.0,0,11,4,36.4,2.21,0.81,0.0,0.0,14.5,0,0,0,1.9,1.9,0.17,-1.9,-1.9,Matches
Casemiro,br BRA,MF,33-237,3.6,1,5,1,20.0,1.38,0.28,0.2,1.0,14.1,0,0,0,1.0,1.0,0.21,0.0,0.0,Matches
Benjamin Šeško,si SVN,FW,22-140,4.3,2,12,6,50.0,2.79,1.4,0.17,0.33,11.8,0,0,0,1.6,1.6,0.16,0.4,0.4,Matches
Matheus Cunha,br BRA,"MF,FW",26-144,3.9,0,15,7,46.7,3.84,1.79,0.0,0.0,19.2,0,0,0,1.3,1.3,0.09,-1.3,-1.3,Matches
Diogo Dalot,pt POR,DF,26-214,3.7,0,2,0,0.0,0.54,0.0,0.0,,16.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Mason Mount,eng ENG,MF,26-281,3.0,1,4,1,25.0,1.32,0.33,0.25,1.0,13.0,0,0,0,0.3,0.3,0.09,0.7,0.7,Matches
Manuel Ugarte,uy URU,MF,24-190,2.7,0,2,0,0.0,0.74,0.0,0.0,,30.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Harry Maguire,eng ENG,DF,32-227,2.0,0,3,0,0.0,1.47,0.0,0.0,,8.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Noussair Mazraoui,ma MAR,DF,27-338,1.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Senne Lammens,be BEL,GK,23-103,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Kobbie Mainoo,eng ENG,MF,20-182,1.3,0,2,0,0.0,1.54,0.0,0.0,,25.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Joshua Zirkzee,nl NED,"FW,MF",24-149,0.9,0,8,1,12.5,9.35,1.17,0.0,0.0,10.7,0,0,0,0.8,0.8,0.1,-0.8,-0.8,Matches
Ayden Heaven,eng ENG,DF,19-026,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,26.3,7.0,7,107,32,29.9,15.29,4.57,0.06,0.19,16.0,2,1,3,13.6,11.2,0.11,-6.6,-5.2,
Opponent Total,,,26.1,7.0,11,64,27,42.2,9.14,3.86,0.17,0.41,14.3,2,0,0,9.9,9.9,0.16,1.1,1.1,
