Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
David Raya,es ESP,GK,30-033,7.0,3,0,1,1,0,3.2,0.18,0.2,0.03,37,102,36.3,238,34,36.1,33.9,18,88.9,60.8,54,6,11.1,11,1.57,18.7,Matches
Squad Total,,,26.1,7.0,3,0,1,1,0,3.2,0.18,0.2,0.03,37,102,36.3,226,34,38.1,,30,53.3,39.5,54,6,11.1,11,1.57,,
Opponent Total,,,26.6,7.0,14,2,0,6,0,12.8,0.41,-1.2,-0.17,34,111,30.6,199,24,41.7,37.5,57,49.1,37.6,109,7,6.4,9,1.29,11.7,
