Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Jenson Seelt,nl NED,DF,22-148,2,134.0,67.0,21.3,1.5,1,52.0,0,1,82.0,1,1.5,0.0,2.0,-2.0,-1.34,-1.89,1.0,1.3,-0.4,-0.24,0.04,Matches
Bertrand Traoré,bf BFA,"FW,MF",30-042,2,89.0,45.0,14.1,1.0,1,57.0,0,1,32.0,2,1.5,0.0,2.0,-2.0,-2.02,-2.52,1.1,2.5,-1.4,-1.39,-1.29,Matches
Lutsharel Geertruida,nl NED,"DF,MF",25-092,4,62.0,16.0,9.8,0.7,0,,0,4,16.0,0,1.25,0.0,0.0,0.0,0.0,-0.16,1.0,2.2,-1.2,-1.71,-1.59,Matches
Brian Brobbey,nl NED,FW,23-259,3,60.0,20.0,9.5,0.7,0,,0,3,20.0,1,1.33,0.0,0.0,0.0,0.0,-0.16,1.2,1.4,-0.3,-0.43,-0.17,Matches
Patrick Roberts,eng ENG,"MF,FW",28-255,1,28.0,28.0,4.4,0.3,0,,0,1,28.0,2,0.0,0.0,1.0,-1.0,-3.21,-3.51,0.2,0.7,-0.5,-1.61,-1.39,Matches
Marc Guiu,es ESP,FW,19-287,2,15.0,8.0,2.4,0.2,0,,0,2,8.0,1,1.5,1.0,1.0,0.0,0.0,-0.15,0.3,0.7,-0.4,-2.2,-1.97,Matches
Dan Neil,eng ENG,MF,23-309,1,1.0,1.0,0.2,0.0,0,,0,1,1.0,6,1.0,0.0,0.0,0.0,0.0,-0.14,0.0,0.2,-0.2,-15.51,-15.26,Matches
Harrison Jones,eng ENG,MF,20-297,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Luke O'Nien,eng ENG,"DF,MF",30-331,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Anthony Patterson,eng ENG,GK,25-161,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
Squad Total,,,25.3,7,630.0,90.0,100.0,7.0,77,80.0,46,30,23.0,33,1.57,7.0,6.0,1.0,0.14,,6.7,8.7,-2.0,-0.28,,
Opponent Total,,,27.0,7,630.0,90.0,100.0,7.0,77,80.0,49,28,18.0,35,1.14,6.0,7.0,-1.0,-0.14,,8.7,6.7,2.0,0.28,,
