Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Dan Burn,eng ENG,DF,33-162,7.0,2,0,0,12,6,0,3,9,6,0,0,0,24,27,23,54.0,Matches
Nick Pope,eng ENG,GK,33-182,7.0,1,0,0,0,0,0,0,0,1,0,0,0,10,6,0,100.0,Matches
Sandro Tonali,it ITA,MF,25-163,6.7,0,0,0,3,9,0,25,7,8,0,0,0,27,1,3,25.0,Matches
Bruno Guimarães,br BRA,MF,27-336,6.0,2,0,0,15,19,0,3,2,8,1,0,0,35,5,10,33.3,Matches
Valentino Livramento,eng ENG,DF,22-340,5.8,0,0,0,3,8,0,13,2,4,0,0,0,28,3,1,75.0,Matches
Kieran Trippier,eng ENG,DF,35-029,4.8,0,0,0,9,4,0,31,4,2,0,0,0,22,6,3,66.7,Matches
Joelinton,br BRA,MF,29-065,4.4,2,0,0,8,4,0,1,7,1,0,0,0,18,10,9,52.6,Matches
Fabian Schär,ch SUI,DF,33-302,3.9,0,0,0,5,3,0,2,6,3,0,0,0,14,16,6,72.7,Matches
Sven Botman,nl NED,DF,25-279,3.8,0,0,0,4,0,0,0,5,1,0,0,0,21,12,5,70.6,Matches
Jacob Murphy,eng ENG,"FW,MF",30-236,3.5,0,0,0,0,1,1,18,0,0,0,0,0,7,2,1,66.7,Matches
Nick Woltemade,de GER,FW,23-246,3.4,0,0,0,3,5,1,1,2,3,0,0,0,9,5,13,27.8,Matches
Anthony Gordon,eng ENG,FW,24-236,3.0,0,1,0,4,7,1,5,0,3,0,0,0,11,4,2,66.7,Matches
Anthony Elanga,se SWE,"FW,MF",23-174,3.7,0,0,0,0,7,0,29,0,1,0,0,0,6,3,6,33.3,Matches
Harvey Barnes,eng ENG,"FW,MF",27-313,3.5,0,0,0,3,4,1,13,0,1,0,0,0,10,1,0,100.0,Matches
Malick Thiaw,de GER,DF,24-071,3.0,1,0,0,4,1,0,0,8,2,0,0,0,13,12,6,66.7,Matches
Lewis Miley,eng ENG,MF,19-170,1.9,0,0,0,0,0,1,1,4,1,0,0,0,11,2,0,100.0,Matches
William Osula,dk DEN,FW,22-075,1.8,0,0,0,11,1,0,0,0,0,0,0,0,4,4,6,40.0,Matches
Lewis Hall,eng ENG,DF,21-040,1.5,0,0,0,1,4,0,7,2,3,0,0,0,8,1,1,50.0,Matches
Joe Willock,eng ENG,MF,26-059,1.0,0,0,0,2,1,0,0,1,4,0,0,0,5,0,2,0.0,Matches
Jacob Ramsey,eng ENG,MF,24-143,0.7,0,0,0,0,0,0,3,0,0,0,0,0,5,0,1,0.0,Matches
Jamaal Lascelles,eng ENG,DF,31-341,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
Squad Total,,,28.0,7.0,8,1,0,87,84,5,155,59,52,1,0,0,288,121,98,55.3,
Opponent Total,,,26.7,7.0,16,1,0,86,83,8,110,74,57,0,1,0,299,98,121,44.7,
