Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Matz Sels,be BEL,GK,33-234,7.0,12,3,0,1,0,13.7,0.31,1.7,0.25,20,71,28.2,150,26,41.3,35.3,42,21.4,25.6,105,4,3.8,5,0.71,13.5,Matches
Squad Total,,,26.7,7.0,12,3,0,1,0,13.7,0.31,1.7,0.25,20,71,28.2,142,26,43.7,,50,18.0,23.9,105,4,3.8,5,0.71,,
Opponent Total,,,26.5,7.0,5,0,0,2,0,6.0,0.23,1.0,0.15,19,86,22.1,203,48,33.0,33.8,55,34.5,32.1,141,10,7.1,7,1.0,11.7,
