Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Đorđe Petrović,rs SRB,GK,26-010,7.0,1,0,0,0,0,0,0,0,0,0,0,0,10,2,0,100.0,Matches
Antoine Semenyo,gh GHA,"FW,MF",25-284,7.0,1,0,0,14,4,4,9,1,9,0,0,0,39,16,18,47.1,Matches
Adrien Truffert,fr FRA,DF,23-332,7.0,0,0,0,7,6,0,35,3,6,0,0,0,34,6,11,35.3,Matches
Marcos Senesi,ar ARG,DF,28-161,6.9,1,0,0,5,7,0,9,13,9,0,0,0,26,16,12,57.1,Matches
Evanilson,br BRA,FW,26-012,6.8,1,0,0,4,10,7,1,0,1,1,0,0,23,9,24,27.3,Matches
Tyler Adams,us USA,MF,26-246,6.7,3,0,0,8,8,1,0,15,10,0,0,0,36,4,6,40.0,Matches
Bafodé Diakité,fr FRA,DF,24-285,6.0,1,0,0,2,2,0,0,6,6,0,0,0,24,18,15,54.5,Matches
Marcus Tavernier,eng ENG,MF,26-210,5.5,0,0,0,5,4,2,13,3,3,0,0,0,31,3,4,42.9,Matches
David Brooks,wls WAL,"FW,MF",28-102,5.0,2,0,0,5,5,1,28,2,5,0,0,0,22,2,1,66.7,Matches
Alex Scott,eng ENG,MF,22-058,5.0,1,0,0,7,12,0,18,7,9,0,0,0,24,7,4,63.6,Matches
Adam Smith,eng ENG,DF,34-172,2.3,0,0,0,3,3,0,2,1,0,0,0,0,3,3,6,33.3,Matches
James Hill,eng ENG,DF,23-281,2.9,1,0,0,4,1,0,6,3,3,0,0,0,8,11,3,78.6,Matches
Álex Jiménez,es ESP,DF,20-163,1.7,3,0,0,4,1,0,3,0,5,0,0,0,7,2,2,50.0,Matches
Justin Kluivert,nl NED,MF,26-166,1.8,0,0,0,2,2,0,7,0,2,0,0,0,7,0,2,0.0,Matches
Ryan Christie,sct SCO,MF,30-238,1.7,0,0,0,5,6,0,4,2,2,0,0,0,10,1,1,50.0,Matches
Amine Adli,ma MAR,"FW,MF",25-161,1.7,0,0,0,4,6,0,7,2,3,0,0,0,14,3,3,50.0,Matches
Veljko Milosavljević,rs SRB,DF,18-112,1.1,0,0,0,0,0,0,0,1,1,0,0,0,3,2,2,50.0,Matches
Ben Gannon-Doak,sct SCO,FW,19-341,0.3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,Matches
Eli Junior Kroupi,fr FRA,"FW,MF",19-117,0.3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.0,Matches
Hamed Junior Traorè,ci CIV,MF,25-244,0.2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0.0,Matches
Ben Winterburn,eng ENG,MF,21-044,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
Lewis Cook,eng ENG,MF,28-257,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Julio Soler,ar ARG,FW,20-244,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,25.9,7.0,16,0,0,80,77,15,144,60,74,1,0,0,325,105,119,46.9,
Opponent Total,,,27.2,7.0,15,1,0,82,79,10,120,47,87,0,1,0,291,119,105,53.1,
