Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Jarrod Bowen,eng ENG,"FW,MF",28-302,7,630.0,90.0,100.0,7.0,7,90.0,7,0,,0,0.57,6.0,16.0,-10.0,-1.43,,6.6,11.1,-4.5,-0.64,,Matches
El Hadji Malick Diouf,sn SEN,DF,20-294,7,630.0,90.0,100.0,7.0,7,90.0,7,0,,0,0.57,6.0,16.0,-10.0,-1.43,,6.6,11.1,-4.5,-0.64,,Matches
Max Kilman,eng ENG,DF,28-148,7,630.0,90.0,100.0,7.0,7,90.0,7,0,,0,0.57,6.0,16.0,-10.0,-1.43,,6.6,11.1,-4.5,-0.64,,Matches
Lucas Paquetá,br BRA,"MF,FW",28-052,7,606.0,87.0,96.2,6.7,7,87.0,5,0,,0,0.57,6.0,16.0,-10.0,-1.49,-1.49,6.5,10.6,-4.0,-0.6,1.11,Matches
Konstantinos Mavropanos,gr GRE,DF,27-311,5,450.0,90.0,71.4,5.0,5,90.0,5,0,,2,0.8,5.0,8.0,-3.0,-0.6,2.9,5.3,7.6,-2.3,-0.46,0.64,Matches
James Ward-Prowse,eng ENG,MF,30-351,5,413.0,83.0,65.6,4.6,5,83.0,2,0,,0,0.6,2.0,11.0,-9.0,-1.96,-1.55,2.9,7.1,-4.2,-0.92,-0.81,Matches
Mateus Fernandes,pt POR,"MF,FW",21-100,5,398.0,80.0,63.2,4.4,5,80.0,2,0,,0,0.8,2.0,7.0,-5.0,-1.13,0.81,3.3,6.8,-3.5,-0.79,-0.4,Matches
Niclas Füllkrug,de GER,FW,32-251,6,379.0,63.0,60.2,4.2,5,69.0,1,1,32.0,1,0.67,2.0,9.0,-7.0,-1.66,-0.59,3.0,6.0,-3.0,-0.71,-0.17,Matches
Kyle Walker-Peters,eng ENG,DF,28-188,6,393.0,66.0,62.4,4.4,4,90.0,4,2,17.0,1,0.67,5.0,6.0,-1.0,-0.23,3.19,5.4,5.3,0.1,0.02,1.76,Matches
Mads Hermansen,dk DEN,GK,25-099,4,360.0,90.0,57.1,4.0,4,90.0,4,0,,3,0.75,4.0,11.0,-7.0,-1.75,-0.75,4.3,5.5,-1.1,-0.28,0.84,Matches
Crysencio Summerville,nl NED,"MF,FW",23-353,5,312.0,62.0,49.5,3.5,4,76.0,1,1,9.0,0,0.8,5.0,7.0,-2.0,-0.58,1.69,4.4,6.0,-1.7,-0.48,0.32,Matches
Alphonse Areola,fr FRA,GK,32-233,3,270.0,90.0,42.9,3.0,3,90.0,3,0,,4,0.33,2.0,5.0,-3.0,-1.0,0.75,2.2,5.6,-3.4,-1.12,-0.84,Matches
Aaron Wan-Bissaka,cd COD,DF,27-326,3,258.0,86.0,41.0,2.9,3,86.0,2,0,,1,0.0,1.0,10.0,-9.0,-3.14,-2.9,1.6,6.1,-4.5,-1.56,-1.56,Matches
Tomáš Souček,cz CZE,MF,30-233,4,232.0,58.0,36.8,2.6,3,71.0,1,1,20.0,0,0.75,4.0,8.0,-4.0,-1.55,-0.19,3.5,3.6,-0.1,-0.04,0.96,Matches
Nayef Aguerd,ma MAR,DF,29-202,2,180.0,90.0,28.6,2.0,2,90.0,2,0,,0,0.0,1.0,8.0,-7.0,-3.5,-2.9,1.3,3.5,-2.2,-1.1,-0.64,Matches
Soungoutou Magassa,fr FRA,MF,22-010,4,161.0,40.0,25.6,1.8,2,59.0,0,2,22.0,0,0.25,0.0,3.0,-3.0,-1.68,-0.33,1.0,3.2,-2.2,-1.2,-0.75,Matches
Jean-Clair Todibo,fr FRA,DF,25-292,2,126.0,63.0,20.0,1.4,2,63.0,0,0,,2,0.0,1.0,5.0,-4.0,-2.86,-1.79,0.5,2.3,-1.8,-1.28,-0.8,Matches
Callum Wilson,eng ENG,FW,33-233,5,173.0,35.0,27.5,1.9,1,58.0,0,4,29.0,2,0.6,4.0,5.0,-1.0,-0.52,1.25,3.1,3.4,-0.4,-0.19,0.62,Matches
