Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Martin Dúbravka,sk SVK,GK,36-276,7.0,15,2,0,1,3,12.8,0.28,0.8,0.12,39,157,24.8,167,33,47.9,36.8,85,90.6,63.4,144,7,4.9,1,0.14,8.1,Matches
Squad Total,,,27.6,7.0,15,2,0,1,3,12.8,0.28,0.8,0.12,39,157,24.8,166,33,48.2,,86,89.5,62.8,144,7,4.9,1,0.14,,
Opponent Total,,,26.2,7.0,7,0,0,1,0,6.1,0.35,-0.9,-0.13,27,57,47.4,189,21,27.0,31.6,41,14.6,22.8,64,5,7.8,8,1.14,15.5,
