Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Joachim Andersen,dk DEN,DF,29-140,7.0,447,408,37,25,0,10,3,3,0,0,0,0,377,2,2,Matches
Calvin Bassey,ng NGA,DF,25-291,7.0,428,383,44,15,0,4,3,18,0,0,0,0,377,1,7,Matches
Bernd Leno,de GER,GK,33-228,7.0,276,223,52,17,0,0,0,0,0,0,0,0,214,1,0,Matches
Sander Berge,no NOR,MF,27-246,6.6,305,298,7,6,0,3,2,1,0,0,0,0,266,0,7,Matches
Saša Lukić,rs SRB,MF,29-066,6.1,234,187,46,12,1,1,30,0,20,14,5,0,191,1,5,Matches
Alex Iwobi,ng NGA,"FW,MF",29-168,6.0,275,267,6,1,4,1,14,4,0,0,0,0,214,2,6,Matches
Joshua King,eng ENG,"MF,FW",18-288,5.2,116,116,0,0,0,0,2,0,0,0,0,0,92,0,7,Matches
Ryan Sessegnon,eng ENG,DF,25-153,5.3,251,196,52,3,2,1,20,49,0,0,0,0,177,3,12,Matches
Kenny Tete,nl NED,DF,30-009,5.0,251,208,42,4,1,0,12,38,0,0,0,0,207,1,5,Matches
Harry Wilson,wls WAL,"FW,MF",28-210,4.9,143,126,16,7,1,1,19,0,9,4,4,0,106,1,4,Matches
Rodrigo Muniz,br BRA,FW,24-167,3.5,36,36,0,0,0,1,0,0,0,0,0,0,11,0,1,Matches
Timothy Castagne,be BEL,"DF,FW",29-317,3.4,137,119,16,0,0,0,9,16,0,0,0,0,109,2,2,Matches
Raúl Jiménez,mx MEX,FW,34-166,1.6,29,29,0,0,0,0,0,0,0,0,0,0,19,0,3,Matches
Jorge Cuenca,es ESP,DF,25-335,1.0,58,54,4,2,0,0,0,0,0,0,0,0,51,0,2,Matches
Issa Diop,fr FRA,DF,28-282,0.9,35,35,0,0,0,0,1,0,0,0,0,0,24,0,2,Matches
Adama Traoré,es ESP,FW,29-266,1.6,45,43,2,0,1,0,9,2,0,0,0,0,31,0,1,Matches
Emile Smith Rowe,eng ENG,MF,25-082,1.5,87,85,2,1,0,0,0,0,0,0,0,0,76,0,0,Matches
Tom Cairney,sct SCO,MF,34-271,1.3,94,89,5,3,1,1,1,0,0,0,0,0,87,0,0,Matches
Kevin,br BRA,"FW,MF",22-287,1.0,48,44,4,0,0,1,9,1,3,3,0,0,33,0,1,Matches
Antonee Robinson,us USA,DF,28-071,0.7,64,57,7,0,0,1,10,7,0,0,0,0,50,0,4,Matches
Samuel Chukwueze,ng NGA,"FW,MF",26-149,0.4,25,25,0,0,1,0,0,0,0,0,0,0,18,0,0,Matches
Squad Total,,,28.0,7.0,3384,3028,342,96,12,25,144,139,32,21,9,0,2730,14,71,
Opponent Total,,,26.1,7.0,3319,2972,331,108,16,23,107,122,35,26,3,2,2708,16,52,
