Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Moisés Caicedo,ec ECU,MF,23-350,7.0,1,0,0,7,12,0,1,18,14,0,0,0,38,3,5,37.5,Matches
Enzo Fernández,ar ARG,MF,24-274,6.9,1,0,0,6,10,1,15,4,6,0,0,0,23,4,4,50.0,Matches
João Pedro,br BRA,"FW,MF",24-022,6.5,0,0,0,6,14,3,6,3,4,0,0,0,13,14,15,48.3,Matches
Robert Sánchez,es ESP,GK,27-334,6.0,0,1,0,1,3,0,0,0,0,0,0,0,8,1,1,50.0,Matches
Pedro Neto,pt POR,FW,25-223,5.6,0,0,0,1,5,2,43,4,3,0,0,0,15,1,3,25.0,Matches
Marc Cucurella,es ESP,DF,27-088,6.0,2,0,0,9,8,0,5,6,10,0,0,0,24,5,8,38.5,Matches
Trevoh Chalobah,eng ENG,DF,26-105,5.3,1,1,0,5,6,0,3,7,7,0,0,0,17,16,8,66.7,Matches
Reece James,eng ENG,DF,25-314,4.7,2,0,0,9,6,0,22,11,6,0,0,0,18,10,6,62.5,Matches
Estêvão Willian,br BRA,FW,18-177,2.9,1,0,0,4,0,2,7,2,4,0,0,0,12,0,4,0.0,Matches
Tosin Adarabioyo,eng ENG,DF,28-024,3.9,1,0,0,3,0,1,0,5,2,0,0,0,13,17,8,68.0,Matches
Malo Gusto,fr FRA,"DF,MF",22-152,3.5,0,0,0,2,4,0,8,3,3,0,0,0,22,3,2,60.0,Matches
Joshua Acheampong,eng ENG,DF,19-166,2.2,0,0,0,0,2,0,0,3,2,0,0,0,9,6,2,75.0,Matches
Jorrel Hato,nl NED,DF,19-225,1.9,2,0,0,2,0,0,0,2,1,0,0,0,5,1,2,33.3,Matches
Jamie Gittens,eng ENG,FW,21-071,1.8,0,0,0,5,1,2,2,0,1,0,0,0,4,1,1,50.0,Matches
Cole Palmer,eng ENG,MF,23-165,1.6,0,0,0,1,1,0,5,0,2,0,0,0,4,0,0,,Matches
Wesley Fofana,fr FRA,DF,24-305,1.4,0,0,0,1,3,1,0,3,2,0,0,0,2,3,3,50.0,Matches
Liam Delap,eng ENG,FW,22-252,1.0,0,0,0,1,1,1,1,0,0,0,0,0,3,2,4,33.3,Matches
Andrey Santos,br BRA,MF,21-168,1.9,1,0,0,2,4,0,1,1,3,0,0,0,10,1,1,50.0,Matches
Alejandro Garnacho,ar ARG,FW,21-109,1.0,0,0,0,0,2,0,3,0,1,0,0,0,2,1,0,100.0,Matches
Benoît Badiashile,fr FRA,DF,24-206,0.7,1,0,0,0,0,0,0,2,0,0,0,0,3,0,0,,Matches
Facundo Buonanotte,ar ARG,MF,20-299,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
Tyrique George,eng ENG,FW,19-256,1.5,2,0,0,6,1,2,1,0,1,0,0,0,1,1,0,100.0,Matches
Filip Jørgensen,dk DEN,GK,23-185,0.9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,100.0,Matches
Roméo Lavia,be BEL,MF,21-285,0.5,0,0,0,0,0,0,0,2,1,0,0,0,3,1,0,100.0,Matches
Marc Guiu,es ESP,FW,19-287,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
Squad Total,,,24.4,7.0,15,2,0,72,83,15,123,77,73,0,0,0,251,92,78,54.1,
Opponent Total,,,26.9,7.0,17,1,1,86,70,12,110,57,82,0,1,0,250,78,92,45.9,
