Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Nick Pope,eng ENG,GK,33-182,7.0,5,0,0,2,0,6.1,0.26,1.1,0.16,15,79,19.0,160,51,33.8,33.9,39,64.1,48.5,84,16,19.0,23,3.29,17.8,Matches
Squad Total,,,28.0,7.0,5,0,0,2,0,6.1,0.26,1.1,0.16,15,79,19.0,157,51,32.5,,42,66.7,49.4,84,16,19.0,23,3.29,,
Opponent Total,,,26.7,7.0,6,1,0,1,0,9.2,0.34,3.2,0.46,34,147,23.1,211,37,54.0,40.9,55,60.0,43.8,119,7,5.9,14,2.0,15.7,
