Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
João Gomes,br BRA,MF,24-248,7,602.0,86.0,95.6,6.7,7,86.0,5,0,,0,0.29,5.0,13.0,-8.0,-1.2,2.02,5.9,9.2,-3.3,-0.49,-0.56,Matches
Emmanuel Agbadou,ci CIV,DF,28-123,7,526.0,75.0,83.5,5.8,5,90.0,5,2,38.0,0,0.29,4.0,14.0,-10.0,-1.71,-2.58,5.4,8.2,-2.8,-0.48,-0.1,Matches
Marshall Munetsi,zw ZIM,"FW,MF",29-118,7,519.0,74.0,82.4,5.8,5,90.0,4,2,35.0,0,0.29,4.0,10.0,-6.0,-1.04,1.39,4.6,7.6,-3.0,-0.51,-0.26,Matches
André,br BRA,MF,24-094,7,443.0,63.0,70.3,4.9,5,76.0,2,2,32.0,0,0.29,3.0,9.0,-6.0,-1.22,0.22,3.8,7.5,-3.7,-0.75,-0.94,Matches
Toti Gomes,pt POR,DF,26-275,6,390.0,65.0,61.9,4.3,5,78.0,3,1,1.0,0,0.17,3.0,13.0,-10.0,-2.31,-2.68,3.8,7.2,-3.4,-0.78,-0.83,Matches
Hugo Bueno,es ESP,"DF,MF",23-030,7,440.0,63.0,69.8,4.9,4,83.0,2,3,36.0,0,0.29,3.0,6.0,-3.0,-0.61,2.23,4.1,5.7,-1.6,-0.34,0.43,Matches
Jørgen Strand Larsen,no NOR,FW,25-254,5,362.0,72.0,57.5,4.0,4,79.0,0,1,45.0,0,0.4,2.0,5.0,-3.0,-0.75,1.27,3.3,4.8,-1.5,-0.38,0.2,Matches
Ladislav Krejčí,cz CZE,"DF,MF",26-181,4,360.0,90.0,57.1,4.0,4,90.0,4,0,,1,0.5,3.0,6.0,-3.0,-0.75,1.25,4.0,3.7,0.2,0.06,1.22,Matches
José Sá,pt POR,GK,32-274,4,360.0,90.0,57.1,4.0,4,90.0,4,0,,2,0.0,3.0,11.0,-8.0,-2.0,-1.67,3.9,6.1,-2.2,-0.56,-0.22,Matches
