Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Gabriel Magalhães,br BRA,DF,27-303,7,630.0,90.0,100.0,7.0,7,90.0,7,0,,0,2.29,14.0,3.0,11.0,1.57,,11.9,4.3,7.5,1.08,,Matches
David Raya,es ESP,GK,30-033,7,630.0,90.0,100.0,7.0,7,90.0,7,0,,0,2.29,14.0,3.0,11.0,1.57,,11.9,4.3,7.5,1.08,,Matches
Viktor Gyökeres,se SWE,FW,27-136,7,576.0,82.0,91.4,6.4,7,82.0,5,0,,0,2.29,13.0,3.0,10.0,1.56,-0.1,11.6,3.4,8.1,1.27,2.25,Matches
Riccardo Calafiori,it ITA,DF,23-152,7,524.0,75.0,83.2,5.8,7,75.0,2,0,,0,2.29,10.0,3.0,7.0,1.2,-2.19,10.1,3.4,6.7,1.15,0.44,Matches
Martín Zubimendi,es ESP,MF,26-258,7,591.0,84.0,93.8,6.6,6,88.0,4,1,61.0,0,2.29,12.0,3.0,9.0,1.37,-3.24,10.7,4.0,6.7,1.02,-0.9,Matches
Declan Rice,eng ENG,MF,26-277,7,543.0,78.0,86.2,6.0,6,87.0,4,1,23.0,0,2.29,12.0,3.0,9.0,1.49,-0.58,9.8,3.6,6.2,1.03,-0.38,Matches
Jurriën Timber,nl NED,DF,24-123,7,522.0,75.0,82.9,5.8,6,84.0,4,1,20.0,0,2.29,11.0,3.0,8.0,1.38,-1.12,9.7,3.3,6.4,1.11,0.2,Matches
William Saliba,fr FRA,DF,24-208,6,409.0,68.0,64.9,4.5,5,73.0,4,1,45.0,0,2.17,11.0,1.0,10.0,2.2,1.79,8.7,3.2,5.5,1.21,0.38,Matches
Bukayo Saka,eng ENG,FW,24-043,5,346.0,69.0,54.9,3.8,4,75.0,2,1,45.0,0,2.6,7.0,1.0,6.0,1.56,-0.02,7.2,3.0,4.2,1.08,0.01,Matches
Noni Madueke,eng ENG,FW,23-222,5,304.0,61.0,48.3,3.4,4,68.0,0,1,31.0,0,2.0,6.0,2.0,4.0,1.18,-0.75,4.5,2.0,2.5,0.72,-0.69,Matches
Martin Ødegaard,no NOR,MF,26-305,6,203.0,34.0,32.2,2.3,4,43.0,1,2,15.0,0,2.5,4.0,1.0,3.0,1.33,-0.36,3.7,2.3,1.4,0.63,-0.66,Matches
Eberechi Eze,eng ENG,"MF,FW",27-111,5,312.0,62.0,49.5,3.5,3,82.0,1,2,33.0,0,2.0,7.0,2.0,5.0,1.44,-0.26,7.0,1.6,5.3,1.54,0.92,Matches
Leandro Trossard,be BEL,FW,30-318,5,294.0,59.0,46.7,3.3,3,81.0,0,2,25.0,2,2.6,6.0,2.0,4.0,1.22,-0.65,6.8,1.9,4.9,1.49,0.77,Matches
Mikel Merino,es ESP,MF,29-118,6,245.0,41.0,38.9,2.7,3,68.0,1,3,14.0,1,2.17,5.0,1.0,4.0,1.47,-0.17,3.3,1.7,1.6,0.59,-0.81,Matches
Cristhian Mosquera,es ESP,DF,21-113,5,249.0,50.0,39.5,2.8,2,68.0,1,3,38.0,2,2.0,4.0,2.0,2.0,0.72,-1.4,4.0,1.1,2.9,1.05,-0.04,Matches
Gabriel Martinelli,br BRA,FW,24-122,6,185.0,31.0,29.4,2.1,2,64.0,0,4,14.0,1,2.17,5.0,0.0,5.0,2.43,1.22,2.4,1.5,0.9,0.43,-0.92,Matches
Ben White,eng ENG,DF,28-010,1,70.0,70.0,11.1,0.8,1,70.0,0,0,,4,3.0,1.0,0.0,1.0,1.29,-0.32,1.1,0.9,0.2,0.31,-0.86,Matches
Ethan Nwaneri,eng ENG,MF,18-211,4,149.0,37.0,23.7,1.7,0,,0,4,37.0,2,2.5,8.0,0.0,8.0,4.83,4.27,3.7,0.3,3.4,2.06,1.29,Matches
Myles Lewis-Skelly,eng ENG,DF,19-022,5,88.0,18.0,14.0,1.0,0,,0,5,18.0,2,3.0,3.0,0.0,3.0,3.07,1.74,1.6,0.9,0.7,0.7,-0.44,Matches
Kai Havertz,de GER,FW,26-129,1,31.0,31.0,4.9,0.3,0,,0,1,31.0,0,3.0,0.0,0.0,0.0,0.0,-1.65,0.2,0.8,-0.6,-1.64,-2.86,Matches
Max Dowman,eng ENG,FW,15-291,2,29.0,15.0,4.6,0.3,0,,0,2,15.0,2,1.5,1.0,0.0,1.0,3.1,1.61,1.0,0.1,0.8,2.58,1.57,Matches
Andre Annous,eng ENG,FW,17-295,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Kepa Arrizabalaga,es ESP,GK,31-015,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
Piero Hincapié,ec ECU,DF,23-282,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Jakub Kiwior,pl POL,"DF,MF",25-245,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Christian Nørgaard,dk DEN,MF,31-222,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Squad Total,,,26.1,7,630.0,90.0,100.0,7.0,77,79.0,43,34,26.0,29,2.29,14.0,3.0,11.0,1.57,,11.9,4.3,7.5,1.08,,
Opponent Total,,,26.6,7,630.0,90.0,100.0,7.0,77,79.0,46,31,22.0,32,0.57,3.0,14.0,-11.0,-1.57,,4.3,11.9,-7.5,-1.08,,
