Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Gabriel Magalhães,br BRA,DF,27-303,7.0,502,64,218,247,38,7,502,2,1,50.0,1,50.0,296,1430,914,6,6,0,4,0,356,1,Matches
David Raya,es ESP,GK,30-033,7.0,266,191,249,18,0,0,266,0,0,,0,,165,636,323,0,0,0,0,0,153,0,Matches
Viktor Gyökeres,se SWE,FW,27-136,6.4,151,6,9,48,95,43,150,12,3,25.0,8,66.7,77,428,138,5,4,3,26,7,103,34,Matches
Riccardo Calafiori,it ITA,DF,23-152,5.8,371,13,78,169,125,25,371,7,2,28.6,2,28.6,178,1048,564,15,10,2,3,1,203,23,Matches
Martín Zubimendi,es ESP,MF,26-258,6.6,466,18,90,292,85,8,466,1,1,100.0,0,0.0,270,1433,627,5,7,0,8,2,331,6,Matches
Declan Rice,eng ENG,MF,26-277,6.0,477,19,91,250,141,9,477,7,5,71.4,1,14.3,282,1756,806,18,15,1,8,3,331,12,Matches
Jurriën Timber,nl NED,DF,24-123,5.8,384,13,77,178,134,22,384,17,4,23.5,11,64.7,201,955,526,13,11,2,11,4,230,29,Matches
William Saliba,fr FRA,DF,24-208,4.5,429,34,197,210,23,3,429,2,2,100.0,0,0.0,255,989,478,2,2,0,2,0,328,3,Matches
Bukayo Saka,eng ENG,FW,24-043,3.8,186,1,13,61,116,18,185,22,9,40.9,10,45.5,116,922,559,19,16,7,8,4,124,46,Matches
Noni Madueke,eng ENG,FW,23-222,3.4,159,1,15,35,110,29,159,17,7,41.2,7,41.2,88,629,419,18,3,11,10,4,101,44,Matches
Martin Ødegaard,no NOR,MF,26-305,2.3,160,3,20,80,62,4,160,5,3,60.0,2,40.0,103,800,436,10,10,2,2,0,117,5,Matches
Eberechi Eze,eng ENG,"MF,FW",27-111,3.5,163,2,13,67,84,18,163,10,6,60.0,4,40.0,99,657,356,9,5,1,5,5,119,21,Matches
Leandro Trossard,be BEL,FW,30-318,3.3,154,1,12,51,93,18,154,6,4,66.7,2,33.3,98,554,198,7,5,4,5,1,124,29,Matches
Mikel Merino,es ESP,MF,29-118,2.7,131,6,27,68,40,5,131,3,2,66.7,0,0.0,76,364,198,6,3,0,4,4,87,8,Matches
Cristhian Mosquera,es ESP,DF,21-113,2.8,199,13,95,98,7,2,199,1,0,0.0,1,100.0,131,697,399,2,1,0,2,0,138,1,Matches
Gabriel Martinelli,br BRA,FW,24-122,2.1,52,3,11,16,28,9,52,3,1,33.3,2,66.7,25,243,141,5,3,2,7,2,22,8,Matches
Ben White,eng ENG,DF,28-010,0.8,38,4,11,20,8,0,38,1,1,100.0,0,0.0,13,53,25,1,1,0,0,0,14,0,Matches
Ethan Nwaneri,eng ENG,MF,18-211,1.7,103,2,10,58,37,5,103,6,2,33.3,4,66.7,64,513,266,6,6,0,1,2,77,6,Matches
Myles Lewis-Skelly,eng ENG,DF,19-022,1.0,64,3,17,38,11,2,64,3,2,66.7,1,33.3,34,141,78,1,2,0,0,1,41,5,Matches
Kai Havertz,de GER,FW,26-129,0.3,16,0,2,5,10,1,16,4,1,25.0,1,25.0,11,75,21,1,1,1,1,1,12,2,Matches
Max Dowman,eng ENG,FW,15-291,0.3,19,0,1,4,14,8,19,7,1,14.3,5,71.4,13,169,71,4,1,3,1,2,12,6,Matches
Squad Total,,,26.1,7.0,4490,397,1256,2013,1261,236,4488,136,57,41.9,62,45.6,2595,14492,7543,153,112,39,108,43,3023,289,
Opponent Total,,,26.6,7.0,3509,563,1486,1412,643,98,3509,104,41,39.4,47,45.2,1849,9413,4904,99,63,31,95,66,2083,169,
