Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Robin Roefs,nl NED,GK,22-274,7.0,272,205,67,30,0,0,0,0,0,0,0,0,182,0,0,Matches
Granit Xhaka,ch SUI,MF,33-021,7.0,413,359,49,23,1,4,20,0,14,13,0,0,331,5,5,Matches
Noah Sadiki,cd COD,MF,20-305,6.9,266,256,9,3,2,0,7,5,0,0,0,0,223,1,6,Matches
Trai Hume,nir NIR,DF,23-214,6.9,317,256,61,5,0,1,26,44,12,9,0,1,217,0,7,Matches
Omar Alderete,py PAR,DF,28-296,6.4,340,334,6,5,1,4,4,1,0,0,0,0,288,0,2,Matches
Chemsdine Talbi,ma MAR,FW,20-162,5.6,149,143,6,0,0,0,20,6,0,0,0,0,116,0,5,Matches
Nordi Mukiele,fr FRA,DF,27-351,5.0,252,205,47,5,0,0,6,31,0,0,0,0,189,0,7,Matches
Reinildo Mandava,mz MOZ,DF,31-270,4.4,230,203,26,0,0,0,6,26,0,0,0,0,190,1,4,Matches
Wilson Isidor,fr FRA,FW,25-052,4.2,29,29,0,0,0,0,0,0,0,0,0,0,20,0,2,Matches
Enzo Le Fée,fr FRA,"FW,MF",25-257,4.2,158,153,5,1,2,2,7,3,1,0,0,0,125,0,3,Matches
Habib Diarra,sn SEN,MF,21-288,3.8,121,121,0,0,0,0,8,0,0,0,0,0,93,0,6,Matches
Simon Adingra,ci CIV,FW,23-290,3.0,69,68,1,0,1,0,12,1,0,0,0,0,48,0,9,Matches
Eliezer Mayenda,es ESP,FW,20-163,2.7,16,16,0,0,0,0,0,0,0,0,0,0,11,0,1,Matches
Daniel Ballard,nir NIR,DF,26-026,2.5,72,66,6,1,0,0,0,0,0,0,0,0,61,0,0,Matches
Arthur Masuaku,cd COD,"DF,MF",31-345,1.4,62,55,7,1,0,2,8,6,0,0,0,0,45,0,2,Matches
Chris Rigg,eng ENG,MF,18-122,1.1,24,24,0,0,0,1,0,0,0,0,0,0,18,0,1,Matches
Jenson Seelt,nl NED,DF,22-148,1.5,110,104,6,1,0,0,1,0,0,0,0,0,96,0,1,Matches
Bertrand Traoré,bf BFA,"FW,MF",30-042,1.0,33,33,0,0,0,1,2,0,0,0,0,0,25,0,1,Matches
Lutsharel Geertruida,nl NED,"DF,MF",25-092,0.7,25,22,3,0,0,0,0,3,0,0,0,0,16,0,1,Matches
Brian Brobbey,nl NED,FW,23-259,0.7,8,8,0,0,0,0,0,0,0,0,0,0,4,0,1,Matches
Patrick Roberts,eng ENG,"MF,FW",28-255,0.3,21,20,1,0,1,0,0,1,0,0,0,0,17,0,3,Matches
Marc Guiu,es ESP,FW,19-287,0.2,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
Dan Neil,eng ENG,MF,23-309,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,25.3,7.0,2992,2685,300,75,8,15,127,127,27,22,0,1,2318,7,67,
Opponent Total,,,27.0,7.0,3731,3415,309,69,10,12,152,135,34,23,5,0,3047,7,61,
