Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Gianluigi Donnarumma,it ITA,GK,26-235,4.0,2,0,0,0,0,2.2,0.28,0.2,0.06,15,43,34.9,98,12,31.6,30.3,14,85.7,52.6,53,4,7.5,1,0.25,8.3,Matches
James Trafford,eng ENG,GK,23-008,3.0,4,1,0,0,0,5.9,0.34,1.9,0.62,10,36,27.8,103,11,27.2,29.6,15,53.3,44.9,26,2,7.7,14,4.67,18.1,Matches
Squad Total,,,25.6,7.0,6,1,0,0,0,8.1,0.32,2.1,0.3,25,79,31.6,182,23,32.4,,48,41.7,35.0,79,6,7.6,15,2.14,,
Opponent Total,,,26.6,7.0,15,0,0,0,2,10.6,0.33,-2.4,-0.34,37,112,33.0,210,25,39.0,33.9,51,58.8,46.5,63,5,7.9,9,1.29,16.8,
