Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Joachim Andersen,dk DEN,DF,29-140,7.0,377,447,84.3,8057,2927,112,120,93.3,195,211,92.4,64,105,61.0,0,0.7,0.7,-0.7,2,45,4,0,28,Matches
Calvin Bassey,ng NGA,DF,25-291,7.0,377,428,88.1,6800,2363,147,163,90.2,197,208,94.7,29,47,61.7,0,0.0,0.1,0.0,1,32,2,0,19,Matches
Bernd Leno,de GER,GK,33-228,7.0,214,276,77.5,4992,3152,52,52,100.0,124,124,100.0,38,99,38.4,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Sander Berge,no NOR,MF,27-246,6.6,266,305,87.2,4420,1144,123,137,89.8,128,137,93.4,13,16,81.3,0,0.3,0.3,-0.3,2,20,4,1,29,Matches
Saša Lukić,rs SRB,MF,29-066,6.1,191,234,81.6,3159,709,95,108,88.0,73,83,88.0,20,33,60.6,1,1.0,0.9,0.0,11,14,5,1,18,Matches
Alex Iwobi,ng NGA,"FW,MF",29-168,6.0,214,275,77.8,3780,1150,91,111,82.0,96,118,81.4,22,33,66.7,2,1.4,1.1,0.6,9,21,22,6,38,Matches
Joshua King,eng ENG,"MF,FW",18-288,5.2,92,116,79.3,1324,242,54,65,83.1,33,37,89.2,2,3,66.7,0,0.1,0.3,-0.1,3,6,3,0,16,Matches
Ryan Sessegnon,eng ENG,DF,25-153,5.3,177,251,70.5,2697,873,96,111,86.5,72,93,77.4,6,25,24.0,0,0.8,0.6,-0.8,4,18,3,0,18,Matches
Kenny Tete,nl NED,DF,30-009,5.0,207,251,82.5,3212,1442,117,127,92.1,67,82,81.7,17,31,54.8,0,0.1,0.4,-0.1,2,12,3,1,24,Matches
Harry Wilson,wls WAL,"FW,MF",28-210,4.9,106,143,74.1,1584,349,59,65,90.8,33,44,75.0,8,22,36.4,0,0.1,0.3,-0.1,4,10,2,0,9,Matches
Rodrigo Muniz,br BRA,FW,24-167,3.5,11,36,30.6,186,58,6,11,54.5,4,13,30.8,1,6,16.7,1,0.3,0.0,0.7,4,2,1,0,2,Matches
Timothy Castagne,be BEL,"DF,FW",29-317,3.4,109,137,79.6,1656,481,59,66,89.4,41,51,80.4,6,13,46.2,0,0.2,0.1,-0.2,3,2,5,2,8,Matches
Raúl Jiménez,mx MEX,FW,34-166,1.6,19,29,65.5,234,30,14,16,87.5,3,6,50.0,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,3,Matches
Jorge Cuenca,es ESP,DF,25-335,1.0,51,58,87.9,868,357,20,20,100.0,28,28,100.0,2,7,28.6,0,0.0,0.0,0.0,0,1,0,0,2,Matches
Issa Diop,fr FRA,DF,28-282,0.9,24,35,68.6,414,226,9,12,75.0,14,14,100.0,1,6,16.7,0,0.0,0.0,0.0,0,5,0,0,5,Matches
Adama Traoré,es ESP,FW,29-266,1.6,31,45,68.9,460,109,15,18,83.3,13,18,72.2,1,4,25.0,0,0.5,0.5,-0.5,3,1,4,3,2,Matches
Emile Smith Rowe,eng ENG,MF,25-082,1.5,76,87,87.4,1145,170,40,47,85.1,27,30,90.0,5,5,100.0,0,0.0,0.1,0.0,1,5,2,0,8,Matches
Tom Cairney,sct SCO,MF,34-271,1.3,87,94,92.6,1549,469,35,37,94.6,42,46,91.3,8,9,88.9,0,0.0,0.1,0.0,1,10,2,0,12,Matches
Kevin,br BRA,"FW,MF",22-287,1.0,33,48,68.8,618,130,14,16,87.5,10,13,76.9,7,13,53.8,0,0.0,0.1,0.0,1,2,3,3,3,Matches
Antonee Robinson,us USA,DF,28-071,0.7,50,64,78.1,858,317,23,24,95.8,20,25,80.0,5,8,62.5,0,0.0,0.1,0.0,1,3,2,1,5,Matches
Samuel Chukwueze,ng NGA,"FW,MF",26-149,0.4,18,25,72.0,270,54,10,11,90.9,6,8,75.0,1,3,33.3,1,0.5,0.4,0.5,2,0,1,0,1,Matches
Squad Total,,,28.0,7.0,2730,3384,80.7,48283,16752,1191,1337,89.1,1226,1389,88.3,257,490,52.4,5,5.9,6.1,-0.9,54,211,68,18,250,
Opponent Total,,,26.1,7.0,2708,3319,81.6,48519,16997,1169,1291,90.5,1219,1377,88.5,252,486,51.9,7,5.1,5.2,1.9,48,231,44,5,261,
