Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Joachim Andersen,dk DEN,DF,29-140,7,630.0,90.0,100.0,7.0,7,90.0,7,0,,0,1.14,8.0,11.0,-3.0,-0.43,,7.3,8.9,-1.7,-0.24,,Matches
Calvin Bassey,ng NGA,DF,25-291,7,630.0,90.0,100.0,7.0,7,90.0,7,0,,0,1.14,8.0,11.0,-3.0,-0.43,,7.3,8.9,-1.7,-0.24,,Matches
Bernd Leno,de GER,GK,33-228,7,630.0,90.0,100.0,7.0,7,90.0,7,0,,0,1.14,8.0,11.0,-3.0,-0.43,,7.3,8.9,-1.7,-0.24,,Matches
Sander Berge,no NOR,MF,27-246,7,598.0,85.0,94.9,6.6,7,85.0,5,0,,0,1.14,6.0,11.0,-5.0,-0.75,-6.38,7.0,8.5,-1.5,-0.23,0.16,Matches
Saša Lukić,rs SRB,MF,29-066,7,548.0,78.0,87.0,6.1,7,78.0,5,0,,0,1.14,7.0,8.0,-1.0,-0.16,2.03,6.4,7.7,-1.4,-0.22,0.11,Matches
Alex Iwobi,ng NGA,"FW,MF",29-168,7,541.0,77.0,85.9,6.0,7,77.0,1,0,,0,1.14,6.0,10.0,-4.0,-0.67,-1.68,5.4,7.8,-2.3,-0.39,-1.09,Matches
Joshua King,eng ENG,"MF,FW",18-288,7,467.0,67.0,74.1,5.2,7,67.0,0,0,,0,1.14,4.0,8.0,-4.0,-0.77,-1.32,4.0,7.3,-3.3,-0.64,-1.56,Matches
Ryan Sessegnon,eng ENG,DF,25-153,6,476.0,79.0,75.6,5.3,6,79.0,3,0,,0,1.17,6.0,10.0,-4.0,-0.76,-1.34,5.0,7.2,-2.3,-0.43,-0.78,Matches
Kenny Tete,nl NED,DF,30-009,5,450.0,90.0,71.4,5.0,5,90.0,5,0,,0,1.6,6.0,5.0,1.0,0.2,2.2,5.3,6.6,-1.3,-0.26,-0.07,Matches
Harry Wilson,wls WAL,"FW,MF",28-210,7,439.0,63.0,69.7,4.9,5,76.0,1,2,30.0,0,1.14,6.0,5.0,1.0,0.21,2.09,4.2,4.6,-0.4,-0.08,0.52,Matches
Rodrigo Muniz,br BRA,FW,24-167,5,316.0,63.0,50.2,3.5,4,73.0,0,1,25.0,0,1.6,4.0,4.0,0.0,0.0,0.86,3.4,5.2,-1.8,-0.51,-0.54,Matches
Timothy Castagne,be BEL,"DF,FW",29-317,5,307.0,61.0,48.7,3.4,4,75.0,2,1,7.0,2,0.4,3.0,9.0,-6.0,-1.76,-2.59,3.5,6.2,-2.7,-0.78,-1.07,Matches
Raúl Jiménez,mx MEX,FW,34-166,6,144.0,24.0,22.9,1.6,2,38.0,0,4,17.0,0,1.33,3.0,1.0,2.0,1.25,2.18,1.9,1.4,0.6,0.34,0.75,Matches
