Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
José Sá,pt POR,GK,32-274,4.0,11,0,1,1,0,7.1,0.44,-3.9,-0.99,23,60,38.3,108,14,41.7,37.0,23,65.2,53.5,46,4,8.7,4,1.0,14.2,Matches
Sam Johnstone,eng ENG,GK,32-207,3.0,3,0,0,1,0,4.6,0.35,1.6,0.53,27,86,31.4,115,19,58.3,41.4,25,76.0,54.5,77,4,5.2,4,1.33,13.3,Matches
Squad Total,,,26.9,7.0,14,0,1,2,0,11.7,0.4,-2.3,-0.34,50,146,34.2,222,33,50.0,41.4,49,71.4,54.4,123,8,6.5,8,1.14,13.3,
Opponent Total,,,27.0,7.0,5,0,0,1,1,5.4,0.25,1.4,0.2,28,93,30.1,187,31,38.5,35.9,44,47.7,41.4,99,9,9.1,12,1.71,14.5,
