Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
James Garner,eng ENG,"MF,DF",24-219,7.0,2,0,0,4,4,0,25,11,13,0,0,0,28,5,4,55.6,Matches
Jake O'Brien,ie IRL,DF,24-156,7.0,0,0,0,3,3,1,18,3,8,0,0,0,16,27,16,62.8,Matches
Jordan Pickford,eng ENG,GK,31-225,7.0,0,0,0,0,1,0,0,0,1,0,0,0,9,1,0,100.0,Matches
James Tarkowski,eng ENG,DF,32-333,7.0,1,0,0,7,5,0,1,6,7,0,1,0,22,30,15,66.7,Matches
Idrissa Gana Gueye,sn SEN,MF,36-022,6.8,0,0,0,3,6,0,7,7,7,0,0,0,36,4,4,50.0,Matches
Michael Keane,eng ENG,DF,32-280,6.7,0,0,0,4,1,0,1,8,4,0,0,0,20,21,15,58.3,Matches
Iliman Ndiaye,sn SEN,FW,25-226,6.5,2,0,0,9,11,2,8,2,11,0,0,0,42,4,7,36.4,Matches
Jack Grealish,eng ENG,FW,30-038,6.2,2,0,0,4,26,0,14,4,9,0,0,0,31,2,8,20.0,Matches
Kiernan Dewsbury-Hall,eng ENG,MF,27-042,6.0,5,0,0,11,11,0,28,3,3,0,1,0,22,7,6,53.8,Matches
Beto,gw GNB,FW,27-260,4.7,1,0,0,8,5,2,1,0,2,0,0,0,6,22,27,44.9,Matches
Vitaliy Mykolenko,ua UKR,DF,26-142,3.9,1,0,0,4,5,0,13,6,2,0,0,0,12,7,6,53.8,Matches
Tim Iroegbunam,eng ENG,MF,22-110,2.7,3,0,0,6,5,0,0,6,3,1,0,0,13,5,1,83.3,Matches
Thierno Barry,fr FRA,FW,22-362,2.3,0,0,0,3,0,1,0,1,0,0,0,0,2,14,19,42.4,Matches
Carlos Alcaraz,ar ARG,"MF,FW",22-322,1.8,1,0,0,1,2,0,2,0,3,0,0,0,12,2,2,50.0,Matches
Tyler Dibling,eng ENG,FW,19-220,0.7,0,0,0,3,4,0,1,0,1,0,0,0,4,0,1,0.0,Matches
Merlin Röhl,de GER,MF,23-105,0.3,0,0,0,2,1,0,0,0,2,0,0,0,1,2,0,100.0,Matches
Dwight McNeil,eng ENG,FW,25-330,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
Séamus Coleman,ie IRL,FW,37-007,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Matches
Harrison Armstrong,eng ENG,FW,18-272,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,28.5,7.0,18,0,0,72,91,6,119,57,76,1,2,0,276,154,131,54.0,
Opponent Total,,,26.8,7.0,15,0,0,94,68,15,107,60,68,0,1,0,276,131,154,46.0,
