Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Gabriel Magalhães,br BRA,DF,27-303,7.0,6,0.86,2,0,0,2,2,0,0,0.0,0,0,0,0,0,0,Matches
David Raya,es ESP,GK,30-033,7.0,3,0.43,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Viktor Gyökeres,se SWE,FW,27-136,6.4,13,2.03,8,0,1,3,1,0,1,0.16,0,0,1,0,0,0,Matches
Riccardo Calafiori,it ITA,DF,23-152,5.8,17,2.92,9,1,1,3,2,1,5,0.86,3,0,0,1,0,1,Matches
Martín Zubimendi,es ESP,MF,26-258,6.6,13,1.98,13,0,0,0,0,0,2,0.3,2,0,0,0,0,0,Matches
Declan Rice,eng ENG,MF,26-277,6.0,20,3.31,12,8,0,0,0,0,3,0.5,2,1,0,0,0,0,Matches
Jurriën Timber,nl NED,DF,24-123,5.8,19,3.28,12,1,1,4,1,0,3,0.52,1,0,0,1,1,0,Matches
William Saliba,fr FRA,DF,24-208,4.5,4,0.88,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Bukayo Saka,eng ENG,FW,24-043,3.8,18,4.68,12,1,2,2,1,0,0,0.0,0,0,0,0,0,0,Matches
Noni Madueke,eng ENG,FW,23-222,3.4,13,3.84,10,2,1,0,0,0,2,0.59,1,0,1,0,0,0,Matches
Martin Ødegaard,no NOR,MF,26-305,2.3,11,4.88,6,1,2,1,1,0,3,1.33,1,1,1,0,0,0,Matches
Eberechi Eze,eng ENG,"MF,FW",27-111,3.5,13,3.75,9,0,1,3,0,0,3,0.87,2,0,0,1,0,0,Matches
Leandro Trossard,be BEL,FW,30-318,3.3,12,3.67,9,0,2,1,0,0,1,0.31,1,0,0,0,0,0,Matches
Mikel Merino,es ESP,MF,29-118,2.7,4,1.47,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Cristhian Mosquera,es ESP,DF,21-113,2.8,1,0.36,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Gabriel Martinelli,br BRA,FW,24-122,2.1,2,0.98,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ben White,eng ENG,DF,28-010,0.8,2,2.57,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ethan Nwaneri,eng ENG,MF,18-211,1.7,4,2.42,3,0,0,1,0,0,1,0.6,1,0,0,0,0,0,Matches
Myles Lewis-Skelly,eng ENG,DF,19-022,1.0,1,1.02,1,0,0,0,0,0,1,1.02,1,0,0,0,0,0,Matches
Kai Havertz,de GER,FW,26-129,0.3,3,8.71,2,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Max Dowman,eng ENG,FW,15-291,0.3,2,6.21,0,0,0,0,2,0,1,3.1,0,0,0,0,1,0,Matches
Squad Total,,,26.1,7.0,181,25.86,123,15,11,20,11,1,26,3.71,15,2,3,3,2,1,
Opponent Total,,,26.6,7.0,104,14.86,78,9,8,3,5,1,6,0.86,5,0,0,0,1,0,
