Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Robin Roefs,nl NED,GK,22-274,7.0,182,272,66.9,5195,3570,25,25,100.0,99,100,99.0,57,146,39.0,0,0.2,0.0,-0.2,2,10,1,0,0,Matches
Granit Xhaka,ch SUI,MF,33-021,7.0,331,413,80.1,6430,1832,130,148,87.8,144,168,85.7,49,78,62.8,3,1.0,0.7,2.0,9,40,5,1,40,Matches
Noah Sadiki,cd COD,MF,20-305,6.9,223,266,83.8,3426,831,115,125,92.0,85,97,87.6,13,24,54.2,0,0.1,0.3,-0.1,3,15,4,2,19,Matches
Trai Hume,nir NIR,DF,23-214,6.9,217,317,68.5,3273,1299,126,148,85.1,74,105,70.5,12,43,27.9,0,0.2,0.2,-0.2,5,22,4,1,22,Matches
Omar Alderete,py PAR,DF,28-296,6.4,288,340,84.7,5921,2448,89,99,89.9,160,172,93.0,38,66,57.6,1,0.0,0.3,1.0,1,24,2,2,29,Matches
Chemsdine Talbi,ma MAR,FW,20-162,5.6,116,149,77.9,1816,267,67,81,82.7,37,45,82.2,8,16,50.0,1,0.3,0.3,0.7,5,2,3,2,4,Matches
Nordi Mukiele,fr FRA,DF,27-351,5.0,189,252,75.0,3539,1089,74,82,90.2,89,113,78.8,23,46,50.0,0,0.3,0.2,-0.3,4,6,0,0,12,Matches
Reinildo Mandava,mz MOZ,DF,31-270,4.4,190,230,82.6,3009,791,95,103,92.2,85,96,88.5,8,21,38.1,0,0.0,0.1,0.0,0,22,2,1,21,Matches
Wilson Isidor,fr FRA,FW,25-052,4.2,20,29,69.0,242,82,14,15,93.3,3,6,50.0,1,3,33.3,0,0.0,0.0,0.0,0,4,0,0,3,Matches
Enzo Le Fée,fr FRA,"FW,MF",25-257,4.2,125,158,79.1,1799,376,77,87,88.5,40,47,85.1,5,11,45.5,0,0.3,0.2,-0.3,3,10,4,2,11,Matches
Habib Diarra,sn SEN,MF,21-288,3.8,93,121,76.9,1328,214,56,63,88.9,31,38,81.6,4,7,57.1,0,0.0,0.1,0.0,1,11,2,0,13,Matches
Simon Adingra,ci CIV,FW,23-290,3.0,48,69,69.6,803,94,22,28,78.6,20,22,90.9,3,7,42.9,0,0.6,0.2,-0.6,5,0,4,2,2,Matches
Eliezer Mayenda,es ESP,FW,20-163,2.7,11,16,68.8,145,53,8,12,66.7,3,3,100.0,0,0,,0,0.5,0.1,-0.5,2,0,1,0,3,Matches
Daniel Ballard,nir NIR,DF,26-026,2.5,61,72,84.7,1217,502,18,19,94.7,37,41,90.2,5,10,50.0,0,0.4,0.2,-0.4,2,5,0,0,5,Matches
Arthur Masuaku,cd COD,"DF,MF",31-345,1.4,45,62,72.6,732,189,22,24,91.7,18,22,81.8,5,14,35.7,0,0.1,0.1,-0.1,1,3,1,1,5,Matches
Chris Rigg,eng ENG,MF,18-122,1.1,18,24,75.0,301,52,9,13,69.2,7,7,100.0,2,3,66.7,0,0.0,0.0,0.0,1,0,1,0,1,Matches
Jenson Seelt,nl NED,DF,22-148,1.5,96,110,87.3,1786,705,38,40,95.0,46,48,95.8,10,16,62.5,0,0.0,0.0,0.0,0,6,0,0,14,Matches
Bertrand Traoré,bf BFA,"FW,MF",30-042,1.0,25,33,75.8,346,52,14,15,93.3,5,8,62.5,2,3,66.7,0,0.7,0.0,-0.7,2,1,1,0,1,Matches
Lutsharel Geertruida,nl NED,"DF,MF",25-092,0.7,16,25,64.0,260,79,7,10,70.0,6,7,85.7,2,4,50.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
Brian Brobbey,nl NED,FW,23-259,0.7,4,8,50.0,45,12,3,4,75.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,2,Matches
Patrick Roberts,eng ENG,"MF,FW",28-255,0.3,17,21,81.0,192,50,11,12,91.7,3,4,75.0,1,1,100.0,0,0.0,0.0,0.0,0,3,0,0,1,Matches
Marc Guiu,es ESP,FW,19-287,0.2,3,5,60.0,30,7,3,3,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,1,0,1,Matches
Dan Neil,eng ENG,MF,23-309,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,25.3,7.0,2318,2992,77.5,41835,14594,1023,1156,88.5,993,1151,86.3,248,520,47.7,5,4.5,3.3,0.5,46,185,36,14,210,
Opponent Total,,,27.0,7.0,3047,3731,81.7,52572,16890,1372,1504,91.2,1373,1547,88.8,239,513,46.6,5,5.4,5.6,-0.4,59,254,66,24,314,
