Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Đorđe Petrović,rs SRB,GK,26-010,7.0,145,210,69.0,4179,2891,24,24,100.0,70,70,100.0,51,113,45.1,0,0.0,0.0,0.0,0,6,0,0,0,Matches
Antoine Semenyo,gh GHA,"FW,MF",25-284,7.0,147,219,67.1,2343,704,83,103,80.6,51,74,68.9,12,32,37.5,3,0.5,0.4,2.5,10,7,12,0,24,Matches
Adrien Truffert,fr FRA,DF,23-332,7.0,294,366,80.3,4472,1399,171,182,94.0,105,135,77.8,13,33,39.4,1,0.6,0.4,0.4,6,31,9,7,36,Matches
Marcos Senesi,ar ARG,DF,28-161,6.9,349,450,77.6,7803,3495,86,95,90.5,183,200,91.5,76,138,55.1,2,0.3,1.1,1.7,4,49,11,3,40,Matches
Evanilson,br BRA,FW,26-012,6.8,89,106,84.0,967,150,57,62,91.9,21,24,87.5,1,2,50.0,0,0.8,0.3,-0.8,9,3,3,0,7,Matches
Tyler Adams,us USA,MF,26-246,6.7,286,343,83.4,4935,1267,124,142,87.3,141,156,90.4,19,29,65.5,0,0.0,0.2,0.0,1,29,0,0,31,Matches
Bafodé Diakité,fr FRA,DF,24-285,6.0,279,314,88.9,5548,1829,76,83,91.6,175,186,94.1,26,39,66.7,0,0.1,0.1,-0.1,2,20,0,0,17,Matches
Marcus Tavernier,eng ENG,MF,26-210,5.5,164,211,77.7,2656,623,82,93,88.2,63,74,85.1,11,29,37.9,0,0.5,0.5,-0.5,7,18,6,0,26,Matches
David Brooks,wls WAL,"FW,MF",28-102,5.0,145,210,69.0,2202,724,75,87,86.2,52,74,70.3,10,29,34.5,1,1.4,1.3,-0.4,7,15,6,4,16,Matches
Alex Scott,eng ENG,MF,22-058,5.0,203,250,81.2,3261,650,102,108,94.4,79,89,88.8,15,38,39.5,0,0.3,0.2,-0.3,4,13,3,2,13,Matches
Adam Smith,eng ENG,DF,34-172,2.3,69,87,79.3,1169,441,35,39,89.7,27,30,90.0,7,16,43.8,0,0.3,0.1,-0.3,1,7,0,0,6,Matches
James Hill,eng ENG,DF,23-281,2.9,94,139,67.6,1674,740,45,48,93.8,39,53,73.6,9,29,31.0,0,0.0,0.2,0.0,0,15,3,0,17,Matches
Álex Jiménez,es ESP,DF,20-163,1.7,82,102,80.4,1204,332,46,51,90.2,28,33,84.8,4,8,50.0,0,0.1,0.0,-0.1,1,5,0,0,8,Matches
Justin Kluivert,nl NED,MF,26-166,1.8,52,72,72.2,813,180,23,30,76.7,23,28,82.1,3,9,33.3,0,0.3,0.4,-0.3,4,4,2,0,6,Matches
Ryan Christie,sct SCO,MF,30-238,1.7,72,96,75.0,1214,280,38,41,92.7,28,38,73.7,5,9,55.6,0,0.0,0.1,0.0,1,17,1,0,12,Matches
Amine Adli,ma MAR,"FW,MF",25-161,1.7,54,74,73.0,748,176,34,38,89.5,15,20,75.0,3,6,50.0,0,0.2,0.1,-0.2,4,1,1,0,5,Matches
Veljko Milosavljević,rs SRB,DF,18-112,1.1,35,42,83.3,598,208,14,15,93.3,19,20,95.0,2,6,33.3,0,0.1,0.2,-0.1,1,4,0,0,3,Matches
Ben Gannon-Doak,sct SCO,FW,19-341,0.3,11,13,84.6,134,7,9,9,100.0,2,3,66.7,0,0,,1,0.6,0.1,0.4,1,0,0,0,0,Matches
Eli Junior Kroupi,fr FRA,"FW,MF",19-117,0.3,4,9,44.4,67,0,2,5,40.0,1,2,50.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Hamed Junior Traorè,ci CIV,MF,25-244,0.2,2,3,66.7,23,18,1,1,100.0,1,2,50.0,0,0,,1,0.2,0.0,0.8,1,0,0,0,0,Matches
Ben Winterburn,eng ENG,MF,21-044,0.1,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Lewis Cook,eng ENG,MF,28-257,0.0,1,2,50.0,13,0,1,1,100.0,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Julio Soler,ar ARG,FW,20-244,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,25.9,7.0,2577,3319,77.6,46023,16114,1128,1258,89.7,1123,1311,85.7,268,567,47.3,9,6.1,5.7,2.9,64,244,57,16,267,
Opponent Total,,,27.2,7.0,2443,3181,76.8,44962,17811,1073,1223,87.7,1056,1262,83.7,265,533,49.7,6,5.4,4.1,0.6,51,198,48,13,230,
