Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Elliot Anderson,eng ENG,MF,22-346,7.0,2,0,0,8,15,1,31,5,12,0,1,0,55,10,8,55.6,Matches
Nikola Milenković,rs SRB,DF,28-006,7.0,1,0,0,3,2,0,0,7,2,0,0,0,20,15,11,57.7,Matches
Matz Sels,be BEL,GK,33-234,7.0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0.0,Matches
Neco Williams,wls WAL,"DF,MF",24-188,7.0,4,0,0,10,11,1,37,7,11,0,0,0,27,11,7,61.1,Matches
Chris Wood,nz NZL,FW,33-315,5.8,0,0,0,5,4,3,1,0,0,0,0,0,7,11,19,36.7,Matches
Dan Ndoye,ch SUI,FW,24-358,5.5,0,0,0,5,6,0,20,5,3,0,0,0,21,2,4,33.3,Matches
Morgan Gibbs-White,eng ENG,"MF,FW",25-264,6.1,0,0,0,6,9,0,9,2,2,0,0,0,23,8,9,47.1,Matches
Callum Hudson-Odoi,eng ENG,FW,24-345,4.4,0,0,0,3,3,1,28,2,1,0,0,0,6,0,2,0.0,Matches
Ibrahim Sangaré,ci CIV,MF,27-320,3.9,0,0,0,6,1,0,2,6,6,0,2,0,15,3,6,33.3,Matches
Morato,br BRA,DF,24-110,3.8,2,0,0,5,1,0,0,2,3,0,0,0,21,4,3,57.1,Matches
Murillo,br BRA,DF,23-106,3.4,1,0,0,4,2,0,1,7,1,0,0,0,21,3,1,75.0,Matches
Ola Aina,ng NGA,DF,29-010,3.0,1,0,0,5,3,0,13,5,3,0,0,0,20,4,2,66.7,Matches
Oleksandr Zinchenko,ua UKR,DF,28-307,2.0,0,0,0,1,2,1,6,0,3,0,0,0,9,2,3,40.0,Matches
Dilane Bakwa,fr FRA,"FW,MF",23-053,1.9,0,0,0,3,4,0,13,0,0,0,0,0,11,0,1,0.0,Matches
Nicolò Savona,it ITA,"DF,MF",22-213,1.6,0,0,0,2,1,0,2,1,3,0,0,0,6,0,2,0.0,Matches
James Mcatee,eng ENG,"MF,FW",23-000,1.4,0,0,0,2,3,0,4,0,2,0,0,0,6,1,2,33.3,Matches
Ryan Yates,eng ENG,MF,27-331,1.0,1,0,0,4,1,0,0,2,0,0,0,0,5,6,1,85.7,Matches
Jair Cunha,br BRA,DF,20-225,1.0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,100.0,Matches
Douglas Luiz,br BRA,MF,27-162,0.8,0,0,0,1,2,0,4,0,1,0,0,0,2,0,0,,Matches
Nicolás Domínguez,ar ARG,MF,27-112,0.5,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,Matches
Igor Jesus,br BRA,"FW,MF",24-235,1.2,0,0,0,3,1,0,0,0,2,0,0,0,5,6,4,60.0,Matches
Arnaud Kalimuendo,fr FRA,FW,23-271,0.8,0,0,0,1,0,0,2,0,0,0,0,0,2,3,1,75.0,Matches
Omari Hutchinson,eng ENG,"FW,MF",21-353,0.6,0,0,0,1,0,1,10,0,1,0,0,0,3,0,0,,Matches
Jota Silva,pt POR,FW,26-078,0.1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0.0,Matches
Squad Total,,,26.7,7.0,14,0,0,80,72,8,184,53,59,0,3,0,296,90,88,50.6,
Opponent Total,,,26.5,7.0,9,0,0,74,74,6,143,50,64,2,0,0,281,88,90,49.4,
