Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Joe Rodon,wls WAL,DF,27-361,7.0,309,341,90.6,5900,1845,88,97,90.7,197,208,94.7,20,29,69.0,0,0.0,0.0,0.0,0,12,0,0,26,Matches
Pascal Struijk,nl NED,DF,26-068,7.0,384,412,93.2,7069,2504,146,148,98.6,210,216,97.2,24,38,63.2,0,0.1,0.1,-0.1,2,29,1,0,18,Matches
Jayden Bogle,eng ENG,DF,25-083,6.8,180,238,75.6,2947,966,88,103,85.4,71,87,81.6,13,27,48.1,0,0.1,0.1,-0.1,2,12,4,2,18,Matches
Gabriel Gudmundsson,se SWE,DF,26-172,6.7,238,309,77.0,3560,1526,139,158,88.0,76,89,85.4,13,36,36.1,0,0.3,0.4,-0.3,4,16,5,2,23,Matches
Anton Stach,de GER,MF,26-337,6.7,195,266,73.3,2950,819,109,130,83.8,58,75,77.3,15,30,50.0,1,1.0,0.6,0.0,13,21,5,2,34,Matches
Sean Longstaff,eng ENG,MF,27-353,5.3,179,212,84.4,3329,906,72,78,92.3,78,89,87.6,23,34,67.6,1,1.3,0.5,-0.3,13,14,0,0,12,Matches
Ethan Ampadu,wls WAL,MF,25-034,4.9,253,307,82.4,4812,1275,91,104,87.5,127,144,88.2,30,50,60.0,0,0.0,0.1,0.0,1,26,2,2,16,Matches
Brenden Aaronson,us USA,FW,24-361,4.4,86,109,78.9,1167,261,48,55,87.3,32,40,80.0,1,4,25.0,0,0.7,0.8,-0.7,5,8,3,0,13,Matches
Karl Darlow,wls WAL,GK,35-010,4.0,114,179,63.7,3425,2515,15,15,100.0,60,60,100.0,39,103,37.9,0,0.0,0.0,0.0,0,3,0,0,1,Matches
Dominic Calvert-Lewin,eng ENG,FW,28-216,4.0,44,63,69.8,546,120,28,39,71.8,12,15,80.0,1,2,50.0,0,0.4,0.4,-0.4,6,5,3,0,6,Matches
Noah Okafor,ch SUI,FW,25-147,3.4,53,73,72.6,1007,306,21,26,80.8,22,30,73.3,8,12,66.7,0,0.4,0.3,-0.4,4,6,4,1,10,Matches
Lucas Perri,br BRA,GK,27-312,3.0,53,111,47.7,1859,1415,6,6,100.0,20,21,95.2,27,84,32.1,0,0.0,0.0,0.0,0,3,0,0,0,Matches
Daniel James,wls WAL,FW,27-342,2.4,23,50,46.0,341,148,12,23,52.2,6,12,50.0,3,7,42.9,0,0.3,0.2,-0.3,2,3,2,1,5,Matches
Wilfried Gnonto,it ITA,FW,21-347,2.1,55,71,77.5,693,80,40,44,90.9,8,14,57.1,3,4,75.0,0,0.1,0.1,-0.1,1,1,1,0,4,Matches
Ilia Gruev,bg BUL,MF,25-165,2.2,91,98,92.9,1377,270,53,55,96.4,28,32,87.5,7,7,100.0,0,0.0,0.0,0.0,0,9,0,0,6,Matches
Ao Tanaka,jp JPN,MF,27-038,2.0,89,104,85.6,1408,315,48,55,87.3,31,35,88.6,7,7,100.0,0,0.2,0.1,-0.2,3,10,1,0,10,Matches
Joël Piroe,nl NED,"FW,MF",26-077,1.6,30,37,81.1,448,38,15,19,78.9,10,10,100.0,1,1,100.0,0,0.0,0.0,0.0,0,3,0,0,1,Matches
Lukas Nmecha,de GER,FW,26-308,1.7,25,37,67.6,274,15,17,20,85.0,5,8,62.5,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
Jack Harrison,eng ENG,"FW,DF",28-332,1.5,39,60,65.0,708,184,22,27,81.5,11,18,61.1,6,13,46.2,0,0.0,0.1,0.0,0,4,2,1,3,Matches
James Justin,eng ENG,DF,27-237,0.2,3,6,50.0,101,43,0,1,0.0,1,2,50.0,2,3,66.7,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Sam Byram,eng ENG,DF,32-032,0.1,1,1,100.0,12,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,27.0,7.0,2444,3084,79.2,43933,15551,1059,1204,88.0,1063,1205,88.2,243,491,49.5,2,4.8,3.9,-2.8,56,186,33,11,207,
Opponent Total,,,26.6,7.0,3084,3746,82.3,56946,18135,1216,1373,88.6,1536,1724,89.1,296,524,56.5,7,5.0,4.8,2.0,53,260,54,23,286,
