Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
José Sá,pt POR,GK,32-274,4,4,360,4.0,11,2.75,16,5,31.3,0,0,4,0,0.0,0,0,0,0,,Matches
Sam Johnstone,eng ENG,GK,32-207,3,3,270,3.0,3,1.0,13,10,76.9,0,2,1,0,0.0,0,0,0,0,,Matches
Squad Total,,,26.9,7,7,630,7.0,14,2.0,29,15,51.7,0,2,5,0,0.0,0,0,0,0,,
Opponent Total,,,27.0,7,7,630,7.0,5,0.71,23,19,78.3,5,2,0,3,42.9,0,0,0,0,,
