Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Robin Roefs,nl NED,GK,22-274,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches
Granit Xhaka,ch SUI,MF,33-021,7,7,630.0,7.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,1.0,1.1,2.0,40.0,6.0,0.0,0.43,0.43,0.0,0.43,0.02,0.14,0.16,0.02,0.16,Matches
Noah Sadiki,cd COD,MF,20-305,7,7,622.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.1,0.2,12.0,19.0,22.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.04,0.01,0.04,Matches
Trai Hume,nir NIR,DF,23-214,7,7,618.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,7.0,22.0,17.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,Matches
Omar Alderete,py PAR,DF,28-296,7,6,578.0,6.4,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.0,0.7,10.0,29.0,2.0,0.16,0.16,0.31,0.16,0.31,0.1,0.01,0.1,0.1,0.1,Matches
Chemsdine Talbi,ma MAR,FW,20-162,7,6,501.0,5.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.3,1.1,10.0,4.0,33.0,0.0,0.18,0.18,0.0,0.18,0.16,0.05,0.2,0.16,0.2,Matches
Nordi Mukiele,fr FRA,DF,27-351,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,2.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.08,0.03,0.08,Matches
Reinildo Mandava,mz MOZ,DF,31-270,5,5,392.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,21.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Wilson Isidor,fr FRA,FW,25-052,7,4,379.0,4.2,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.2,1.2,0.0,1.2,1.0,3.0,13.0,0.71,0.0,0.71,0.71,0.71,0.29,0.0,0.29,0.29,0.29,Matches
