Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Jarrod Bowen,eng ENG,"FW,MF",28-302,7.0,242,6,25,90,132,25,242,24,8,33.3,12,50.0,142,1175,566,23,15,8,16,13,176,50,Matches
El Hadji Malick Diouf,sn SEN,DF,20-294,7.0,388,28,131,142,115,7,388,12,4,33.3,8,66.7,171,851,453,11,13,1,9,5,215,31,Matches
Max Kilman,eng ENG,DF,28-148,7.0,382,85,217,157,11,3,382,4,3,75.0,1,25.0,203,1237,788,3,4,0,1,2,238,1,Matches
Lucas Paquetá,br BRA,"MF,FW",28-052,6.7,441,15,79,222,147,13,440,27,7,25.9,17,63.0,227,975,389,3,7,2,15,10,309,28,Matches
Konstantinos Mavropanos,gr GRE,DF,27-311,5.0,305,54,175,123,8,7,305,0,0,,0,,173,956,637,2,1,0,3,0,190,0,Matches
James Ward-Prowse,eng ENG,MF,30-351,4.6,246,8,44,148,55,1,246,2,0,0.0,1,50.0,100,522,182,1,3,0,5,0,156,8,Matches
Mateus Fernandes,pt POR,"MF,FW",21-100,4.4,209,10,42,131,37,4,209,4,1,25.0,2,50.0,110,563,237,6,4,1,6,5,139,6,Matches
Niclas Füllkrug,de GER,FW,32-251,4.2,121,5,15,57,50,21,121,0,0,,0,,48,140,41,1,2,0,7,6,89,15,Matches
Kyle Walker-Peters,eng ENG,DF,28-188,4.4,263,18,78,130,60,4,263,12,7,58.3,1,8.3,140,709,392,12,5,0,0,5,160,17,Matches
Mads Hermansen,dk DEN,GK,25-099,4.0,163,122,162,1,0,0,163,0,0,,0,,110,565,258,0,0,0,0,0,99,0,Matches
Crysencio Summerville,nl NED,"MF,FW",23-353,3.5,155,11,29,62,68,12,155,18,6,33.3,8,44.4,93,804,346,10,12,5,7,5,106,24,Matches
Alphonse Areola,fr FRA,GK,32-233,3.0,114,84,111,3,0,0,114,0,0,,0,,63,292,172,0,0,0,0,0,54,0,Matches
Aaron Wan-Bissaka,cd COD,DF,27-326,2.9,173,10,49,65,61,5,173,7,3,42.9,2,28.6,84,412,206,5,2,0,4,1,103,15,Matches
Tomáš Souček,cz CZE,MF,30-233,2.6,127,12,43,63,21,5,127,3,0,0.0,3,100.0,52,166,73,1,1,0,3,0,68,2,Matches
Nayef Aguerd,ma MAR,DF,29-202,2.0,143,14,62,72,9,2,143,1,1,100.0,0,0.0,71,405,222,2,2,0,1,0,93,0,Matches
Soungoutou Magassa,fr FRA,MF,22-010,1.8,95,8,38,46,11,0,95,2,1,50.0,1,50.0,43,170,76,0,0,0,2,1,53,3,Matches
Jean-Clair Todibo,fr FRA,DF,25-292,1.4,102,4,36,55,12,0,102,1,0,0.0,0,0.0,61,412,262,2,4,0,1,0,75,1,Matches
Callum Wilson,eng ENG,FW,33-233,1.9,44,1,5,16,24,10,44,8,5,62.5,1,12.5,27,157,61,2,2,1,6,4,36,9,Matches
Guido Rodríguez,ar ARG,MF,31-189,0.8,42,1,9,23,10,0,42,0,0,,0,,14,50,5,0,0,0,0,0,23,3,Matches
Freddie Potts,eng ENG,MF,22-036,1.2,73,3,23,42,8,1,73,2,0,0.0,2,100.0,34,142,73,0,2,0,0,2,45,2,Matches
Luis Guilherme,br BRA,"FW,MF",19-251,0.6,17,3,7,4,6,2,17,2,0,0.0,2,100.0,12,67,20,0,0,0,1,1,10,3,Matches
Callum Marshall,nir NIR,FW,20-324,0.3,6,0,1,4,2,1,6,2,1,50.0,1,50.0,3,30,12,0,0,0,2,2,2,0,Matches
Andy Irving,sct SCO,MF,25-158,0.3,29,1,6,10,14,0,29,0,0,,0,,9,35,14,0,2,0,0,0,8,0,Matches
Igor,br BRA,DF,27-253,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,27.3,7.0,3880,503,1387,1666,861,123,3879,131,47,35.9,62,47.3,1990,10835,5485,84,81,18,89,62,2447,218,
Opponent Total,,,26.2,7.0,4405,390,1258,2013,1169,204,4404,87,36,41.4,40,46.0,2534,12872,7116,135,95,31,88,54,2960,282,
