Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
João Gomes,br BRA,MF,24-248,6.7,280,325,86.2,4601,1041,141,153,92.2,103,117,88.0,26,36,72.2,0,0.2,0.3,-0.2,4,29,9,3,36,Matches
Emmanuel Agbadou,ci CIV,DF,28-123,5.8,287,362,79.3,6443,2578,73,81,90.1,173,194,89.2,39,81,48.1,0,0.1,0.3,-0.1,2,36,5,2,26,Matches
Marshall Munetsi,zw ZIM,"FW,MF",29-118,5.8,61,104,58.7,1000,348,31,54,57.4,20,31,64.5,7,10,70.0,1,0.4,0.2,0.6,2,7,2,2,10,Matches
André,br BRA,MF,24-094,4.9,201,221,91.0,3372,948,97,101,96.0,88,93,94.6,14,21,66.7,0,0.0,0.1,0.0,0,20,0,0,18,Matches
Toti Gomes,pt POR,DF,26-275,4.3,250,295,84.7,4590,1472,89,98,90.8,140,152,92.1,17,40,42.5,0,0.0,0.0,0.0,2,19,0,0,10,Matches
Hugo Bueno,es ESP,"DF,MF",23-030,4.9,182,240,75.8,3175,821,79,94,84.0,84,99,84.8,17,36,47.2,0,0.8,0.8,-0.8,10,8,12,11,11,Matches
Jørgen Strand Larsen,no NOR,FW,25-254,4.0,51,76,67.1,666,91,34,50,68.0,10,14,71.4,3,4,75.0,0,0.0,0.1,0.0,0,7,0,0,2,Matches
Ladislav Krejčí,cz CZE,"DF,MF",26-181,4.0,171,198,86.4,3411,1155,57,64,89.1,96,100,96.0,18,29,62.1,0,0.1,0.2,-0.1,3,18,2,0,16,Matches
José Sá,pt POR,GK,32-274,4.0,89,131,67.9,2683,2098,13,13,100.0,47,48,97.9,28,69,40.6,0,0.1,0.0,-0.1,1,3,1,0,0,Matches
Jhon Arias,co COL,FW,28-027,4.0,130,158,82.3,2176,412,67,75,89.3,51,64,79.7,10,17,58.8,0,0.3,0.3,-0.3,7,8,4,1,12,Matches
Hwang Hee-chan,kr KOR,FW,29-265,3.1,42,71,59.2,684,168,20,33,60.6,18,29,62.1,3,6,50.0,0,0.0,0.1,0.0,1,3,2,1,7,Matches
Jackson Tchatchoua,cm CMR,"DF,MF",24-034,4.0,126,173,72.8,2093,588,65,78,83.3,52,70,74.3,8,19,42.1,0,0.1,0.1,-0.1,3,4,3,3,4,Matches
Santiago Bueno,uy URU,DF,26-343,3.4,124,145,85.5,2441,772,30,36,83.3,82,87,94.3,10,17,58.8,0,0.0,0.1,0.0,2,3,1,1,9,Matches
Sam Johnstone,eng ENG,GK,32-207,3.0,79,141,56.0,2531,1909,17,17,100.0,31,31,100.0,31,92,33.7,0,0.0,0.0,0.0,0,3,0,0,0,Matches
Jean-Ricner Bellegarde,ht HAI,"MF,FW",27-113,2.8,76,101,75.2,1431,357,29,33,87.9,37,45,82.2,9,19,47.4,0,0.3,0.2,-0.3,3,2,6,0,17,Matches
Matt Doherty,ie IRL,DF,33-275,2.5,87,105,82.9,1800,629,33,36,91.7,42,50,84.0,12,17,70.6,0,0.0,0.0,0.0,0,5,0,0,5,Matches
Rodrigo Gomes,pt POR,"DF,MF",22-103,1.8,40,52,76.9,707,78,22,27,81.5,15,22,68.2,3,3,100.0,0,0.1,0.1,-0.1,1,1,1,1,2,Matches
Tolu Arokodare,ng NGA,FW,24-329,1.8,11,22,50.0,127,11,8,12,66.7,2,7,28.6,0,0,,0,0.1,0.0,-0.1,1,1,0,0,0,Matches
David Møller Wolfe,no NOR,"MF,DF",23-178,1.6,28,54,51.9,444,233,16,23,69.6,10,21,47.6,2,8,25.0,1,0.3,0.1,0.7,1,2,1,1,3,Matches
Yerson Mosquera,co COL,DF,24-169,1.5,65,70,92.9,1321,305,12,13,92.3,50,51,98.0,2,4,50.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Ki-Jana Hoever,nl NED,MF,23-273,1.2,29,47,61.7,624,184,10,17,58.8,14,16,87.5,5,11,45.5,0,0.2,0.2,-0.2,2,2,3,2,2,Matches
Fer López,es ESP,"MF,FW",21-147,1.2,46,59,78.0,822,207,18,23,78.3,25,28,89.3,3,6,50.0,1,0.7,0.5,0.3,3,7,6,0,13,Matches
Sasa Kalajdzic,at AUT,FW,28-103,0.2,4,6,66.7,41,0,4,4,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,26.9,7.0,2459,3156,77.9,47183,16405,965,1135,85.0,1190,1369,86.9,267,545,49.0,3,4.1,3.8,-1.1,48,189,58,28,203,
Opponent Total,,,27.0,7.0,2834,3480,81.4,50777,17310,1237,1375,90.0,1309,1478,88.6,253,492,51.4,11,8.0,7.0,3.0,65,263,61,20,307,
