Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Morgan Rogers,eng ENG,"FW,MF",23-084,6.9,134,187,71.7,2034,613,75,90,83.3,43,60,71.7,11,21,52.4,2,1.0,0.6,1.0,7,9,6,0,22,Matches
Matty Cash,pl POL,DF,28-072,6.7,311,388,80.2,5371,1494,134,140,95.7,142,167,85.0,26,62,41.9,0,0.4,0.6,-0.4,5,32,4,1,26,Matches
Ollie Watkins,eng ENG,FW,29-292,6.6,67,94,71.3,803,115,46,61,75.4,14,18,77.8,2,4,50.0,0,0.4,0.2,-0.4,4,2,1,0,7,Matches
John McGinn,sct SCO,"MF,FW",31-000,6.1,195,246,79.3,3676,900,75,83,90.4,96,117,82.1,23,36,63.9,0,0.8,0.8,-0.8,7,12,11,6,25,Matches
Ezri Konsa,eng ENG,DF,27-360,5.7,379,398,95.2,6707,2280,156,158,98.7,200,206,97.1,22,30,73.3,0,0.0,0.1,0.0,1,32,1,0,21,Matches
Lucas Digne,fr FRA,DF,32-090,5.4,196,270,72.6,3246,1222,103,118,87.3,73,93,78.5,16,32,50.0,1,0.6,1.1,0.4,6,6,9,5,10,Matches
Tyrone Mings,eng ENG,DF,32-219,5.3,302,338,89.3,5767,2069,101,109,92.7,174,180,96.7,24,43,55.8,0,0.1,0.1,-0.1,3,28,1,0,27,Matches
Emiliano Martínez,ar ARG,GK,33-046,5.0,159,194,82.0,4058,2481,38,38,100.0,85,86,98.8,36,69,52.2,0,0.0,0.0,0.0,0,7,2,0,0,Matches
Youri Tielemans,be BEL,MF,28-164,3.5,195,235,83.0,3535,862,87,98,88.8,77,88,87.5,26,38,68.4,0,0.2,0.4,-0.2,4,25,1,0,21,Matches
Boubacar Kamara,fr FRA,MF,25-329,3.3,166,188,88.3,2761,793,71,80,88.8,77,84,91.7,11,14,78.6,2,0.3,0.3,1.7,4,22,4,0,25,Matches
Evann Guessand,ci CIV,"FW,MF",24-109,3.1,47,67,70.1,546,131,36,42,85.7,9,14,64.3,1,1,100.0,0,0.0,0.5,0.0,0,2,4,0,7,Matches
Lamare Bogarde,nl NED,MF,21-286,3.1,148,157,94.3,2309,541,73,76,96.1,65,67,97.0,6,7,85.7,0,0.0,0.1,0.0,2,14,1,0,8,Matches
Emi Buendía,ar ARG,"MF,FW",28-297,3.3,95,121,78.5,1392,395,57,64,89.1,26,33,78.8,6,11,54.5,1,0.4,0.6,0.6,6,11,7,0,20,Matches
Pau Torres,es ESP,DF,28-275,2.8,196,218,89.9,3452,1127,86,90,95.6,85,90,94.4,20,31,64.5,0,0.0,0.1,0.0,0,16,0,0,17,Matches
Donyell Malen,nl NED,FW,26-282,2.6,41,54,75.9,611,116,25,28,89.3,13,15,86.7,2,3,66.7,0,0.2,0.1,-0.2,3,4,2,0,7,Matches
Marco Bizot,nl NED,GK,34-222,2.0,46,67,68.7,1272,836,10,10,100.0,22,22,100.0,14,35,40.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
Amadou Onana,be BEL,MF,24-063,1.7,63,76,82.9,1111,288,23,26,88.5,32,38,84.2,7,10,70.0,0,0.0,0.1,0.0,0,4,0,0,8,Matches
Ian Maatsen,nl NED,DF,23-222,1.6,113,137,82.5,1913,524,57,60,95.0,45,55,81.8,9,16,56.3,0,0.2,0.2,-0.2,3,14,3,1,14,Matches
Harvey Elliott,eng ENG,"MF,FW",22-197,1.1,53,62,85.5,688,107,39,41,95.1,11,13,84.6,1,5,20.0,0,0.0,0.1,0.0,0,6,1,1,5,Matches
Victor Lindelöf,se SWE,"MF,DF",31-093,0.3,9,11,81.8,153,44,3,3,100.0,6,7,85.7,0,0,,0,0.0,0.0,0.0,0,1,0,0,2,Matches
Bradley Paul Burrowes,eng ENG,DF,17-228,0.2,3,8,37.5,65,4,1,2,50.0,1,1,100.0,1,3,33.3,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Jadon Sancho,eng ENG,FW,25-207,0.1,15,18,83.3,220,75,6,6,100.0,8,9,88.9,0,1,0.0,0,0.0,0.0,0.0,0,0,3,0,3,Matches
Ross Barkley,eng ENG,MF,31-317,0.1,2,2,100.0,36,3,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
Squad Total,,,28.4,7.0,2935,3536,83.0,51726,17020,1303,1424,91.5,1305,1464,89.1,264,472,55.9,6,4.6,6.0,1.4,55,247,61,14,277,
Opponent Total,,,27.3,7.0,2082,2666,78.1,37712,13999,954,1070,89.2,859,992,86.6,223,455,49.0,4,7.4,5.3,-3.4,61,177,37,14,195,
