Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Tijjani Reijnders,nl NED,MF,27-081,6.7,1,0,0,4,6,1,14,1,2,0,0,0,22,2,3,40.0,Matches
Erling Haaland,no NOR,FW,25-089,6.6,0,0,0,7,3,0,0,0,0,0,0,0,12,16,3,84.2,Matches
Rúben Dias,pt POR,DF,28-157,6.1,0,0,0,4,3,0,0,5,2,0,0,0,16,13,10,56.5,Matches
Nico O’Reilly,eng ENG,"DF,MF",20-211,4.4,2,0,0,4,0,0,3,4,7,0,0,0,20,7,12,36.8,Matches
Jeremy Doku,be BEL,"MF,FW",23-144,4.3,0,0,0,5,10,2,9,1,4,0,0,0,13,2,4,33.3,Matches
Bernardo Silva,pt POR,MF,31-069,4.1,1,0,0,7,5,0,12,3,4,0,0,0,21,2,4,33.3,Matches
Oscar Bobb,no NOR,"FW,MF",22-098,4.0,0,0,0,3,9,0,4,1,3,0,0,0,15,1,3,25.0,Matches
Gianluigi Donnarumma,it ITA,GK,26-235,4.0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,0,100.0,Matches
Phil Foden,eng ENG,MF,25-143,3.9,1,0,0,3,3,0,20,1,4,0,0,0,25,0,5,0.0,Matches
Joško Gvardiol,hr CRO,DF,23-268,3.8,0,0,0,1,1,0,1,4,3,0,0,0,10,6,4,60.0,Matches
Rodri,es ESP,MF,29-118,3.2,0,0,0,1,5,0,0,2,1,0,0,0,22,8,1,88.9,Matches
Nicolás González,es ESP,MF,23-288,3.9,1,0,0,4,6,0,0,2,10,0,0,0,16,13,8,61.9,Matches
Matheus Nunes,pt POR,DF,27-052,3.7,1,0,0,3,3,0,3,2,3,0,1,0,17,7,3,70.0,Matches
James Trafford,eng ENG,GK,23-008,3.0,0,0,0,0,1,0,0,0,1,0,0,0,7,1,0,100.0,Matches
John Stones,eng ENG,DF,31-143,2.9,0,0,0,0,0,0,4,2,0,0,0,0,13,9,1,90.0,Matches
Abdukodir Khusanov,uz UZB,DF,21-231,2.5,1,0,0,3,3,0,0,5,4,0,0,0,9,2,3,40.0,Matches
Rayan Aït-Nouri,dz ALG,DF,24-134,2.2,1,0,0,4,1,0,2,5,6,0,0,0,8,3,2,60.0,Matches
Rico Lewis,eng ENG,DF,20-331,1.9,0,0,0,1,3,0,1,3,1,0,0,0,4,0,1,0.0,Matches
Sávio,br BRA,MF,21-191,1.9,0,0,0,1,5,3,3,2,0,0,0,0,9,0,0,,Matches
Omar Marmoush,eg EGY,"FW,MF",26-253,1.7,0,0,0,1,5,0,2,1,3,0,0,0,7,1,1,50.0,Matches
Rayan Cherki,fr FRA,"MF,FW",22-062,0.8,0,0,0,1,0,0,2,2,1,0,0,0,3,0,0,,Matches
Nathan Aké,nl NED,DF,30-242,1.3,0,0,0,0,3,0,2,1,1,0,0,0,2,1,2,33.3,Matches
Squad Total,,,25.6,7.0,10,0,0,57,75,6,82,47,60,0,1,0,273,98,70,58.3,
Opponent Total,,,26.6,7.0,14,0,0,77,55,15,115,60,93,0,0,2,278,70,98,41.7,
