Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Morgan Rogers,eng ENG,"FW,MF",23-084,6.9,13,1.88,10,0,0,1,2,0,3,0.43,3,0,0,0,0,0,Matches
Matty Cash,pl POL,DF,28-072,6.7,11,1.63,6,5,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ollie Watkins,eng ENG,FW,29-292,6.6,8,1.2,6,0,0,1,1,0,0,0.0,0,0,0,0,0,0,Matches
John McGinn,sct SCO,"MF,FW",31-000,6.1,18,2.97,13,2,1,1,0,1,0,0.0,0,0,0,0,0,0,Matches
Ezri Konsa,eng ENG,DF,27-360,5.7,4,0.7,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Lucas Digne,fr FRA,DF,32-090,5.4,14,2.58,10,3,0,1,0,0,2,0.37,2,0,0,0,0,0,Matches
Tyrone Mings,eng ENG,DF,32-219,5.3,5,0.94,4,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Emiliano Martínez,ar ARG,GK,33-046,5.0,2,0.4,2,0,0,0,0,0,1,0.2,1,0,0,0,0,0,Matches
Youri Tielemans,be BEL,MF,28-164,3.5,8,2.29,7,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Boubacar Kamara,fr FRA,MF,25-329,3.3,6,1.83,6,0,0,0,0,0,2,0.61,2,0,0,0,0,0,Matches
Evann Guessand,ci CIV,"FW,MF",24-109,3.1,6,1.9,4,0,0,0,2,0,0,0.0,0,0,0,0,0,0,Matches
Lamare Bogarde,nl NED,MF,21-286,3.1,5,1.58,5,0,0,0,0,0,1,0.32,1,0,0,0,0,0,Matches
Emi Buendía,ar ARG,"MF,FW",28-297,3.3,13,3.91,13,0,0,0,0,0,1,0.3,1,0,0,0,0,0,Matches
Pau Torres,es ESP,DF,28-275,2.8,4,1.41,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Donyell Malen,nl NED,FW,26-282,2.6,7,2.7,6,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Marco Bizot,nl NED,GK,34-222,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Amadou Onana,be BEL,MF,24-063,1.7,2,1.17,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ian Maatsen,nl NED,DF,23-222,1.6,6,3.75,3,2,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Harvey Elliott,eng ENG,"MF,FW",22-197,1.1,4,3.67,4,0,0,0,0,0,1,0.92,1,0,0,0,0,0,Matches
Victor Lindelöf,se SWE,"MF,DF",31-093,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Bradley Paul Burrowes,eng ENG,DF,17-228,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jadon Sancho,eng ENG,FW,25-207,0.1,2,20.0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ross Barkley,eng ENG,MF,31-317,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,28.4,7.0,138,19.71,110,13,1,7,5,2,11,1.57,11,0,0,0,0,0,
Opponent Total,,,27.3,7.0,146,20.86,96,18,12,11,4,5,13,1.86,6,3,0,3,1,0,
