Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Gianluigi Donnarumma,it ITA,GK,26-235,4,4,360,4.0,2,0.5,8,6,75.0,3,1,0,2,50.0,0,0,0,0,,Matches
James Trafford,eng ENG,GK,23-008,3,3,270,3.0,4,1.33,15,11,80.0,1,0,2,1,33.3,1,1,0,0,0.0,Matches
Squad Total,,,25.6,7,7,630,7.0,6,0.86,23,17,78.3,4,1,2,3,42.9,1,1,0,0,0.0,
Opponent Total,,,26.6,7,7,630,7.0,15,2.14,32,19,53.1,2,1,4,1,14.3,0,0,0,0,,
