Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Joachim Andersen,dk DEN,DF,29-140,7.0,0,0,0,7,5,0,3,8,11,0,0,0,25,10,7,58.8,Matches
Calvin Bassey,ng NGA,DF,25-291,7.0,2,0,0,6,9,0,3,3,5,0,1,0,32,6,5,54.5,Matches
Bernd Leno,de GER,GK,33-228,7.0,1,0,0,0,3,0,0,0,0,0,0,0,11,2,0,100.0,Matches
Sander Berge,no NOR,MF,27-246,6.6,1,0,0,9,2,0,2,5,8,0,1,0,30,8,7,53.3,Matches
Saša Lukić,rs SRB,MF,29-066,6.1,4,0,0,22,12,0,30,6,7,0,0,0,20,5,12,29.4,Matches
Alex Iwobi,ng NGA,"FW,MF",29-168,6.0,1,0,0,3,2,1,14,2,2,0,0,0,27,0,5,0.0,Matches
Joshua King,eng ENG,"MF,FW",18-288,5.2,2,0,0,4,9,0,2,1,3,0,0,0,19,2,5,28.6,Matches
Ryan Sessegnon,eng ENG,DF,25-153,5.3,0,0,0,11,2,1,20,4,7,0,1,0,12,9,5,64.3,Matches
Kenny Tete,nl NED,DF,30-009,5.0,0,0,0,3,10,1,12,3,10,0,0,0,16,9,4,69.2,Matches
Harry Wilson,wls WAL,"FW,MF",28-210,4.9,1,0,0,4,9,3,19,0,6,0,0,0,18,0,4,0.0,Matches
Rodrigo Muniz,br BRA,FW,24-167,3.5,1,0,0,9,5,3,0,0,1,0,0,1,6,19,23,45.2,Matches
Timothy Castagne,be BEL,"DF,FW",29-317,3.4,0,0,0,3,1,0,9,6,3,0,0,0,15,5,6,45.5,Matches
Raúl Jiménez,mx MEX,FW,34-166,1.6,0,0,0,7,0,2,0,0,2,0,0,0,1,4,13,23.5,Matches
Jorge Cuenca,es ESP,DF,25-335,1.0,0,0,0,0,0,0,0,2,2,0,0,0,4,1,0,100.0,Matches
Issa Diop,fr FRA,DF,28-282,0.9,1,0,0,2,0,0,1,2,2,0,0,0,4,1,0,100.0,Matches
Adama Traoré,es ESP,FW,29-266,1.6,0,0,0,4,1,3,9,0,0,0,0,0,6,1,3,25.0,Matches
Emile Smith Rowe,eng ENG,MF,25-082,1.5,0,0,0,1,2,0,0,0,0,0,0,0,3,0,1,0.0,Matches
Tom Cairney,sct SCO,MF,34-271,1.3,1,0,0,3,5,0,1,0,0,0,0,0,5,2,1,66.7,Matches
Kevin,br BRA,"FW,MF",22-287,1.0,1,0,0,0,2,0,9,1,0,0,0,0,5,0,1,0.0,Matches
Antonee Robinson,us USA,DF,28-071,0.7,0,0,0,0,0,0,10,1,0,0,0,0,1,0,1,0.0,Matches
Samuel Chukwueze,ng NGA,"FW,MF",26-149,0.4,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,,Matches
Squad Total,,,28.0,7.0,16,0,0,98,81,14,144,44,69,0,3,1,262,84,103,44.9,
Opponent Total,,,26.1,7.0,10,0,0,83,92,16,107,59,57,2,0,2,268,103,84,55.1,
