Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Dan Burn,eng ENG,DF,33-162,7.0,211,298,70.8,4020,1753,75,95,78.9,115,144,79.9,18,46,39.1,1,0.1,0.1,0.9,2,11,2,1,22,Matches
Nick Pope,eng ENG,GK,33-182,7.0,126,200,63.0,3334,2139,21,22,95.5,69,70,98.6,36,107,33.6,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Sandro Tonali,it ITA,MF,25-163,6.7,309,385,80.3,4985,1480,169,187,90.4,108,130,83.1,23,55,41.8,1,1.3,0.8,-0.3,12,42,6,2,49,Matches
Bruno Guimarães,br BRA,MF,27-336,6.0,216,264,81.8,3733,1127,100,113,88.5,87,100,87.0,22,34,64.7,0,0.2,0.6,-0.2,6,25,7,0,38,Matches
Valentino Livramento,eng ENG,DF,22-340,5.8,235,289,81.3,3777,1299,134,150,89.3,82,96,85.4,16,30,53.3,1,0.2,0.4,0.8,3,24,5,2,24,Matches
Kieran Trippier,eng ENG,DF,35-029,4.8,298,383,77.8,5409,2141,127,147,86.4,133,154,86.4,33,66,50.0,0,0.6,0.4,-0.6,11,32,7,1,50,Matches
Joelinton,br BRA,MF,29-065,4.4,109,136,80.1,1477,406,67,81,82.7,36,41,87.8,2,4,50.0,0,0.8,0.4,-0.8,3,17,0,0,19,Matches
Fabian Schär,ch SUI,DF,33-302,3.9,184,225,81.8,4201,1793,50,55,90.9,99,106,93.4,35,62,56.5,0,0.1,0.1,-0.1,2,18,1,0,13,Matches
Sven Botman,nl NED,DF,25-279,3.8,164,193,85.0,3083,1311,56,63,88.9,94,100,94.0,13,25,52.0,0,0.2,0.2,-0.2,2,0,0,0,8,Matches
Jacob Murphy,eng ENG,"FW,MF",30-236,3.5,65,108,60.2,1124,357,35,48,72.9,22,37,59.5,8,18,44.4,1,0.9,0.7,0.1,3,8,7,2,9,Matches
Nick Woltemade,de GER,FW,23-246,3.4,46,56,82.1,598,123,32,37,86.5,12,16,75.0,1,1,100.0,0,0.2,0.1,-0.2,2,3,1,0,5,Matches
Anthony Gordon,eng ENG,FW,24-236,3.0,51,76,67.1,765,158,35,43,81.4,13,21,61.9,3,10,30.0,0,0.1,0.1,-0.1,3,7,0,0,7,Matches
Anthony Elanga,se SWE,"FW,MF",23-174,3.7,76,126,60.3,983,235,48,65,73.8,19,34,55.9,4,15,26.7,0,0.5,0.2,-0.5,5,4,4,3,6,Matches
Harvey Barnes,eng ENG,"FW,MF",27-313,3.5,71,95,74.7,1076,363,45,51,88.2,22,29,75.9,4,9,44.4,0,0.7,0.8,-0.7,5,6,8,3,16,Matches
Malick Thiaw,de GER,DF,24-071,3.0,92,107,86.0,1789,595,31,36,86.1,54,59,91.5,6,9,66.7,0,0.3,0.0,-0.3,1,8,1,0,13,Matches
Lewis Miley,eng ENG,MF,19-170,1.9,80,100,80.0,1325,286,35,40,87.5,41,46,89.1,4,9,44.4,0,0.1,0.0,-0.1,2,6,0,0,5,Matches
William Osula,dk DEN,FW,22-075,1.8,17,20,85.0,238,32,11,13,84.6,6,6,100.0,0,0,,0,0.1,0.0,-0.1,1,1,0,0,2,Matches
Lewis Hall,eng ENG,DF,21-040,1.5,52,78,66.7,954,377,23,27,85.2,24,31,77.4,5,18,27.8,0,0.0,0.0,0.0,0,5,1,0,9,Matches
Joe Willock,eng ENG,MF,26-059,1.0,15,20,75.0,261,29,7,9,77.8,7,7,100.0,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
Jacob Ramsey,eng ENG,MF,24-143,0.7,24,28,85.7,358,81,12,14,85.7,11,12,91.7,1,1,100.0,0,0.3,0.1,-0.3,3,1,1,1,5,Matches
Jamaal Lascelles,eng ENG,DF,31-341,0.2,6,8,75.0,116,14,1,2,50.0,5,5,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,28.0,7.0,2447,3195,76.6,43606,16099,1114,1298,85.8,1059,1244,85.1,235,522,45.0,4,6.5,5.2,-2.5,66,219,51,15,301,
Opponent Total,,,26.7,7.0,2523,3239,77.9,43769,14912,1164,1315,88.5,1074,1247,86.1,218,524,41.6,5,3.9,3.9,1.1,47,193,55,12,249,
