Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Marc Guéhi,eng ENG,DF,25-097,7,630.0,90.0,100.0,7.0,7,90.0,7,0,,0,1.71,9.0,5.0,4.0,0.57,,12.7,8.7,4.0,0.57,,Matches
Dean Henderson,eng ENG,GK,28-220,7,630.0,90.0,100.0,7.0,7,90.0,7,0,,0,1.71,9.0,5.0,4.0,0.57,,12.7,8.7,4.0,0.57,,Matches
Maxence Lacroix,fr FRA,DF,25-195,7,630.0,90.0,100.0,7.0,7,90.0,7,0,,0,1.71,9.0,5.0,4.0,0.57,,12.7,8.7,4.0,0.57,,Matches
Tyrick Mitchell,eng ENG,"DF,MF",26-047,7,630.0,90.0,100.0,7.0,7,90.0,7,0,,0,1.71,9.0,5.0,4.0,0.57,,12.7,8.7,4.0,0.57,,Matches
Daniel Muñoz,co COL,"DF,MF",29-145,7,630.0,90.0,100.0,7.0,7,90.0,7,0,,0,1.71,9.0,5.0,4.0,0.57,,12.7,8.7,4.0,0.57,,Matches
Chris Richards,us USA,DF,25-204,7,630.0,90.0,100.0,7.0,7,90.0,7,0,,0,1.71,9.0,5.0,4.0,0.57,,12.7,8.7,4.0,0.57,,Matches
Jean-Philippe Mateta,fr FRA,FW,28-112,7,600.0,86.0,95.2,6.7,7,86.0,4,0,,0,1.71,9.0,3.0,6.0,0.9,6.9,12.0,6.9,5.1,0.76,4.07,Matches
Adam Wharton,eng ENG,MF,21-254,6,451.0,75.0,71.6,5.0,6,75.0,2,0,,0,1.83,6.0,4.0,2.0,0.4,-0.61,8.9,6.4,2.5,0.49,-0.27,Matches
Daichi Kamada,jp JPN,MF,29-074,5,435.0,87.0,69.0,4.8,5,87.0,2,0,,0,2.0,7.0,3.0,4.0,0.83,0.83,9.8,5.6,4.3,0.88,1.01,Matches
