Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Nathan Collins,ie IRL,DF,24-171,7.0,3,0,0,9,9,1,0,9,1,1,1,0,25,10,12,45.5,Matches
Sepp van den Berg,nl NED,DF,23-302,7.0,0,0,0,3,1,0,0,4,2,0,0,0,21,23,13,63.9,Matches
Caoimhín Kelleher,ie IRL,GK,26-329,7.0,1,0,0,0,1,0,0,0,0,0,0,0,8,1,1,50.0,Matches
Michael Kayode,it ITA,DF,21-100,6.8,0,0,0,7,5,0,8,7,6,0,0,0,28,5,4,55.6,Matches
Yehor Yarmoliuk,ua UKR,MF,21-231,6.7,1,0,0,11,2,0,3,4,9,0,0,0,40,3,6,33.3,Matches
Thiago,br BRA,FW,24-114,6.2,2,0,0,15,2,3,3,1,5,0,0,0,6,22,29,43.1,Matches
Kevin Schade,de GER,FW,23-325,6.4,2,0,0,10,7,1,6,3,6,0,0,0,18,13,18,41.9,Matches
Jordan Henderson,eng ENG,MF,35-123,5.3,1,0,0,5,2,1,11,4,2,0,0,0,22,0,2,0.0,Matches
Mikkel Damsgaard,dk DEN,MF,25-107,4.6,0,0,0,5,6,1,35,5,6,0,0,0,14,1,9,10.0,Matches
Keane Lewis-Potter,eng ENG,"DF,FW",24-238,4.4,0,0,0,4,7,0,11,2,5,0,0,0,16,1,3,25.0,Matches
Dango Ouattara,bf BFA,FW,23-249,3.5,1,0,0,10,6,1,10,3,2,0,0,0,11,7,8,46.7,Matches
Aaron Hickey,sct SCO,DF,23-130,2.1,1,0,0,2,2,0,0,1,2,0,0,0,7,3,2,60.0,Matches
Mathias Jensen,dk DEN,MF,29-290,2.0,0,0,0,0,1,1,9,1,5,0,0,0,5,1,1,50.0,Matches
Ethan Pinnock,jm JAM,DF,32-142,1.7,1,0,0,0,2,0,0,2,1,0,0,1,4,3,5,37.5,Matches
Rico Henry,eng ENG,DF,28-102,1.9,1,0,0,2,2,0,7,2,4,0,1,0,10,2,2,50.0,Matches
Kristoffer Ajer,no NOR,DF,27-184,1.3,0,0,0,1,0,0,0,1,3,0,0,0,2,2,3,40.0,Matches
Fabio Carvalho,pt POR,"FW,MF",23-049,1.1,0,0,0,0,0,0,4,0,2,0,0,0,5,0,3,0.0,Matches
Antoni Milambo,nl NED,MF,20-198,0.5,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,66.7,Matches
Frank Onyeka,ng NGA,MF,27-290,1.0,0,0,0,3,3,0,0,0,0,0,0,0,5,1,1,50.0,Matches
Vitaly Janelt,de GER,MF,27-161,0.5,0,0,0,1,0,0,3,0,0,0,0,0,3,1,0,100.0,Matches
Squad Total,,,25.3,7.0,14,0,0,88,58,9,110,49,62,1,2,1,252,101,123,45.1,
Opponent Total,,,26.4,7.0,16,0,0,63,86,10,122,51,70,2,2,0,261,123,101,54.9,
