Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Lewis Dunk,eng ENG,DF,33-331,7.0,0,6,0,0.0,0.86,0.0,0.0,,22.9,2,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
Jan Paul van Hecke,nl NED,DF,25-132,7.0,1,4,2,50.0,0.57,0.29,0.25,0.5,16.8,0,0,0,0.4,0.4,0.11,0.6,0.6,Matches
Bart Verbruggen,nl NED,GK,23-061,7.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Yankuba Minteh,gm GAM,FW,21-088,6.6,1,11,3,27.3,1.68,0.46,0.09,0.33,13.7,0,0,0,1.6,1.6,0.15,-0.6,-0.6,Matches
Kaoru Mitoma,jp JPN,FW,28-151,5.6,1,6,3,50.0,1.06,0.53,0.17,0.33,13.0,0,0,0,0.8,0.8,0.13,0.2,0.2,Matches
Carlos Baleba,cm CMR,MF,21-288,3.9,0,3,0,0.0,0.76,0.0,0.0,,29.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Yasin Ayari,se SWE,MF,22-012,6.0,1,11,4,36.4,1.82,0.66,0.09,0.25,24.4,1,0,0,0.5,0.5,0.04,0.5,0.5,Matches
Danny Welbeck,eng ENG,FW,34-326,4.1,2,6,2,33.3,1.47,0.49,0.33,1.0,11.6,0,0,1,2.5,1.7,0.28,-0.5,0.3,Matches
Georginio Rutter,fr FRA,"FW,MF",23-181,4.1,0,6,3,50.0,1.47,0.74,0.0,0.0,17.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Joël Veltman,nl NED,DF,33-276,3.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Maxim De Cuyper,be BEL,DF,24-300,3.3,1,2,2,100.0,0.61,0.61,0.5,0.5,20.7,1,0,0,0.7,0.7,0.34,0.3,0.3,Matches
Ferdi Kadioglu,tr TUR,"DF,FW",26-011,4.2,0,2,1,50.0,0.48,0.24,0.0,0.0,11.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Diego Gómez,py PAR,MF,22-205,3.5,0,5,2,40.0,1.45,0.58,0.0,0.0,28.9,1,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Mats Wieffer,nl NED,DF,25-336,3.2,0,3,1,33.3,0.95,0.32,0.0,0.0,15.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Brajan Gruda,de GER,"MF,FW",21-140,2.5,1,9,3,33.3,3.63,1.21,0.11,0.33,19.6,0,0,0,1.4,1.4,0.16,-0.4,-0.4,Matches
Matt O'Riley,dk DEN,MF,24-331,2.0,1,3,1,33.3,1.53,0.51,0.0,0.0,22.2,0,1,1,1.2,0.4,0.14,-0.2,-0.4,Matches
Jack Hinshelwood,eng ENG,MF,20-190,1.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
James Milner,eng ENG,MF,39-287,1.6,1,0,0,,0.0,0.0,,,,0,1,1,0.8,0.0,,0.2,0.0,Matches
Stefanos Tzimas,gr GRE,"MF,FW",19-285,0.6,0,2,0,0.0,3.53,0.0,0.0,,9.2,0,0,0,0.4,0.4,0.18,-0.4,-0.4,Matches
Diego Coppola,it ITA,DF,21-294,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,26.1,7.0,10,79,27,34.2,11.29,3.86,0.1,0.3,18.9,5,2,3,11.2,8.9,0.11,-1.2,-0.9,
Opponent Total,,,26.4,7.0,8,72,21,29.2,10.29,3.0,0.1,0.33,16.3,5,1,1,9.1,8.3,0.12,-1.1,-1.3,
