Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Tijjani Reijnders,nl NED,MF,27-081,6.7,1,14,5,35.7,2.08,0.74,0.07,0.2,19.6,0,0,0,1.0,1.0,0.07,0.0,0.0,Matches
Erling Haaland,no NOR,FW,25-089,6.6,9,29,14,48.3,4.4,2.12,0.31,0.64,10.7,0,0,0,7.7,7.7,0.27,1.3,1.3,Matches
Rúben Dias,pt POR,DF,28-157,6.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Nico O’Reilly,eng ENG,"DF,MF",20-211,4.4,0,3,0,0.0,0.69,0.0,0.0,,27.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Jeremy Doku,be BEL,"MF,FW",23-144,4.3,0,4,3,75.0,0.93,0.7,0.0,0.0,9.1,0,0,0,0.6,0.6,0.14,-0.6,-0.6,Matches
Bernardo Silva,pt POR,MF,31-069,4.1,0,1,0,0.0,0.24,0.0,0.0,,9.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Oscar Bobb,no NOR,"FW,MF",22-098,4.0,0,2,0,0.0,0.5,0.0,0.0,,13.6,0,0,0,0.3,0.3,0.16,-0.3,-0.3,Matches
Gianluigi Donnarumma,it ITA,GK,26-235,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Phil Foden,eng ENG,MF,25-143,3.9,1,9,3,33.3,2.29,0.76,0.11,0.33,17.9,0,0,0,0.8,0.8,0.08,0.2,0.2,Matches
Joško Gvardiol,hr CRO,DF,23-268,3.8,0,3,1,33.3,0.8,0.27,0.0,0.0,21.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Rodri,es ESP,MF,29-118,3.2,0,3,1,33.3,0.92,0.31,0.0,0.0,19.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Nicolás González,es ESP,MF,23-288,3.9,0,3,0,0.0,0.76,0.0,0.0,,25.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Matheus Nunes,pt POR,DF,27-052,3.7,1,2,1,50.0,0.54,0.27,0.5,1.0,18.4,0,0,0,0.2,0.2,0.09,0.8,0.8,Matches
James Trafford,eng ENG,GK,23-008,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
John Stones,eng ENG,DF,31-143,2.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Abdukodir Khusanov,uz UZB,DF,21-231,2.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rayan Aït-Nouri,dz ALG,DF,24-134,2.2,0,2,0,0.0,0.89,0.0,0.0,,24.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Rico Lewis,eng ENG,DF,20-331,1.9,0,1,0,0.0,0.53,0.0,0.0,,26.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Sávio,br BRA,MF,21-191,1.9,0,2,1,50.0,1.07,0.53,0.0,0.0,12.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Omar Marmoush,eg EGY,"FW,MF",26-253,1.7,0,5,2,40.0,3.02,1.21,0.0,0.0,16.0,1,0,0,0.8,0.8,0.16,-0.8,-0.8,Matches
Rayan Cherki,fr FRA,"MF,FW",22-062,0.8,1,1,1,100.0,1.27,1.27,1.0,1.0,24.3,0,0,0,0.1,0.1,0.06,0.9,0.9,Matches
Nathan Aké,nl NED,DF,30-242,1.3,0,2,0,0.0,1.57,0.0,0.0,,11.0,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
Squad Total,,,25.6,7.0,13,86,32,37.2,12.29,4.57,0.15,0.41,15.9,1,0,0,12.1,12.1,0.14,0.9,0.9,
Opponent Total,,,26.6,7.0,6,71,22,31.0,10.14,3.14,0.07,0.23,16.5,1,1,1,7.1,6.3,0.09,-1.1,-1.3,
