Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Martin Dúbravka,sk SVK,GK,36-276,7.0,279,234,276,3,0,0,279,0,0,,0,,136,681,416,0,0,0,0,0,98,0,Matches
Kyle Walker,eng ENG,DF,35-143,7.0,396,35,137,172,89,4,396,7,3,42.9,4,57.1,177,832,463,8,5,1,7,4,201,11,Matches
Quilindschy Hartman,nl NED,DF,23-338,7.0,313,28,101,131,84,6,313,3,0,0.0,3,100.0,128,422,224,1,4,0,4,2,152,18,Matches
Maxime Estève,fr FRA,DF,23-145,6.9,310,64,180,122,8,5,310,0,0,,0,,150,483,269,1,0,0,2,1,172,0,Matches
Josh Cullen,ie IRL,MF,29-194,6.6,394,25,100,238,57,3,394,2,0,0.0,1,50.0,182,433,135,2,3,1,4,3,225,5,Matches
Jaidon Anthony,eng ENG,"MF,FW",25-321,6.5,280,10,45,131,111,22,280,21,8,38.1,8,38.1,143,857,496,14,3,5,27,14,170,32,Matches
Lyle Foster,za RSA,FW,25-045,6.3,162,10,22,64,79,17,162,6,6,100.0,0,0.0,92,469,200,7,6,4,20,9,110,30,Matches
Hjalmar Ekdal,se SWE,DF,26-362,5.9,235,53,132,87,16,13,235,0,0,,0,,109,535,273,1,0,0,1,0,127,0,Matches
Josh Laurent,eng ENG,"DF,MF",30-165,5.0,179,18,61,88,32,6,179,2,0,0.0,2,100.0,101,371,221,5,2,1,2,1,102,9,Matches
Loum Tchaouna,fr FRA,MF,22-040,3.5,110,4,15,46,51,5,110,8,1,12.5,5,62.5,49,257,108,4,5,0,4,4,61,12,Matches
Florentino Luís,pt POR,MF,26-060,3.3,177,10,59,96,24,0,177,3,2,66.7,1,33.3,86,295,171,1,0,0,0,0,99,1,Matches
Lesley Ugochukwu,fr FRA,MF,21-206,3.2,132,8,36,70,27,5,132,6,3,50.0,2,33.3,66,236,83,0,3,0,2,4,78,4,Matches
Hannibal Mejbri,tn TUN,MF,22-270,2.8,101,3,10,50,45,4,101,8,4,50.0,3,37.5,50,305,181,6,4,1,5,8,57,8,Matches
Jacob Bruun Larsen,dk DEN,"FW,MF",27-029,2.6,93,6,18,34,41,6,93,6,1,16.7,5,83.3,51,208,99,1,1,2,6,3,56,17,Matches
Oliver Sonne,pe PER,"DF,FW",24-342,1.2,38,0,13,8,17,2,38,2,1,50.0,1,50.0,13,31,12,0,0,0,0,0,17,3,Matches
Axel Tuanzebe,cd COD,DF,27-338,1.0,58,7,27,30,1,0,58,0,0,,0,,41,128,54,0,0,0,1,0,40,1,Matches
Armando Broja,al ALB,FW,24-038,0.5,9,0,3,2,4,1,9,0,0,,0,,3,9,0,0,0,0,1,1,5,2,Matches
Zian Flemming,nl NED,"FW,MF",27-078,0.4,15,0,1,5,9,2,15,1,0,0.0,1,100.0,7,33,24,1,1,0,1,0,9,3,Matches
Joe Worrall,eng ENG,DF,28-281,0.2,11,3,7,1,3,0,11,0,0,,0,,0,0,0,0,0,0,0,0,4,1,Matches
Marcus Edwards,eng ENG,FW,26-319,0.1,1,0,0,0,1,0,1,0,0,,0,,1,0,0,0,0,0,1,0,1,0,Matches
Bashir Humphreys,eng ENG,DF,22-217,0.0,2,0,2,0,0,0,2,0,0,,0,,2,12,2,0,0,0,0,0,2,0,Matches
Squad Total,,,27.6,7.0,3295,518,1245,1378,699,101,3295,75,29,38.7,36,48.0,1587,6597,3431,52,37,15,88,54,1786,157,
Opponent Total,,,26.2,7.0,5168,379,1310,2346,1551,234,5166,113,54,47.8,52,46.0,3323,17274,9659,208,139,60,85,70,3725,341,
