Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Martin Dúbravka,sk SVK,GK,36-276,7,7,630,7.0,15,2.14,40,28,67.5,1,1,5,1,14.3,2,2,0,0,0.0,Matches
Squad Total,,,27.6,7,7,630,7.0,15,2.14,40,28,67.5,1,1,5,1,14.3,2,2,0,0,0.0,
Opponent Total,,,26.2,7,7,630,7.0,7,1.0,18,11,61.1,5,1,1,2,28.6,0,0,0,0,,
