Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Đorđe Petrović,rs SRB,GK,26-010,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Antoine Semenyo,gh GHA,"FW,MF",25-284,7,7,630.0,7.0,6.0,3.0,9.0,5.0,1.0,1.0,1.0,0.0,3.6,2.8,0.5,3.3,22.0,24.0,40.0,0.86,0.43,1.29,0.71,1.14,0.51,0.07,0.58,0.4,0.47,Matches
Adrien Truffert,fr FRA,DF,23-332,7,7,630.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.7,16.0,36.0,44.0,0.0,0.14,0.14,0.0,0.14,0.01,0.09,0.1,0.01,0.1,Matches
Marcos Senesi,ar ARG,DF,28-161,7,7,617.0,6.9,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.4,4.0,40.0,2.0,0.0,0.29,0.29,0.0,0.29,0.02,0.04,0.06,0.02,0.06,Matches
Evanilson,br BRA,FW,26-012,7,7,616.0,6.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.3,1.3,0.8,2.0,4.0,7.0,21.0,0.15,0.0,0.15,0.15,0.15,0.18,0.11,0.3,0.18,0.3,Matches
Tyler Adams,us USA,MF,26-246,7,7,603.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.0,0.2,3.0,31.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches
Bafodé Diakité,fr FRA,DF,24-285,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,1.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches
Marcus Tavernier,eng ENG,MF,26-210,7,6,498.0,5.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,0.5,1.4,17.0,26.0,37.0,0.18,0.0,0.18,0.18,0.18,0.17,0.08,0.25,0.17,0.25,Matches
David Brooks,wls WAL,"FW,MF",28-102,7,6,454.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.9,0.9,1.4,2.3,15.0,16.0,46.0,0.0,0.2,0.2,0.0,0.2,0.17,0.28,0.45,0.17,0.45,Matches
Alex Scott,eng ENG,MF,22-058,7,6,449.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.3,0.6,12.0,13.0,15.0,0.2,0.0,0.2,0.2,0.2,0.07,0.06,0.13,0.07,0.13,Matches
Adam Smith,eng ENG,DF,34-172,3,3,204.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12,Matches
James Hill,eng ENG,DF,23-281,6,2,260.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,3.0,17.0,8.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Álex Jiménez,es ESP,DF,20-163,4,2,151.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.1,0.1,8.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08,Matches
Justin Kluivert,nl NED,MF,26-166,6,1,164.0,1.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.6,7.0,6.0,13.0,0.55,0.0,0.55,0.55,0.55,0.18,0.15,0.33,0.18,0.33,Matches
