Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Nathan Collins,ie IRL,DF,24-171,7.0,355,74,226,115,16,10,355,1,0,0.0,0,0.0,167,865,510,2,1,1,2,3,207,0,Matches
Sepp van den Berg,nl NED,DF,23-302,7.0,347,67,193,138,16,8,347,0,0,,0,,153,796,463,2,0,0,5,0,206,5,Matches
Caoimhín Kelleher,ie IRL,GK,26-329,7.0,274,199,257,17,0,0,274,1,0,0.0,0,0.0,143,621,394,0,0,0,0,0,135,0,Matches
Michael Kayode,it ITA,DF,21-100,6.8,345,30,121,134,96,4,345,23,12,52.2,8,34.8,141,966,527,11,10,1,7,8,155,27,Matches
Yehor Yarmoliuk,ua UKR,MF,21-231,6.7,293,14,91,156,47,2,293,14,7,50.0,7,50.0,134,759,309,7,3,1,9,5,148,7,Matches
Thiago,br BRA,FW,24-114,6.2,173,17,32,77,67,15,172,8,4,50.0,4,50.0,58,295,106,4,5,2,16,6,102,15,Matches
Kevin Schade,de GER,FW,23-325,6.4,181,9,29,77,80,26,180,15,2,13.3,11,73.3,82,619,219,10,6,8,19,10,110,18,Matches
Jordan Henderson,eng ENG,MF,35-123,5.3,275,14,83,164,33,1,275,1,0,0.0,1,100.0,141,625,248,3,3,0,5,2,188,3,Matches
Mikkel Damsgaard,dk DEN,MF,25-107,4.6,241,9,47,112,85,8,241,13,4,30.8,7,53.8,103,509,232,8,7,3,11,7,127,14,Matches
Keane Lewis-Potter,eng ENG,"DF,FW",24-238,4.4,144,7,54,63,29,6,144,4,2,50.0,2,50.0,66,294,155,5,2,3,4,5,67,13,Matches
Dango Ouattara,bf BFA,FW,23-249,3.5,121,6,23,40,60,19,121,20,4,20.0,13,65.0,58,399,171,9,4,6,10,4,71,22,Matches
Aaron Hickey,sct SCO,DF,23-130,2.1,111,4,46,51,14,0,111,2,0,0.0,1,50.0,49,251,102,0,0,0,5,2,62,5,Matches
Mathias Jensen,dk DEN,MF,29-290,2.0,94,5,22,48,25,5,94,2,1,50.0,1,50.0,33,99,64,3,0,1,4,1,45,2,Matches
Ethan Pinnock,jm JAM,DF,32-142,1.7,93,16,53,34,6,5,93,0,0,,0,,51,207,85,0,0,0,0,1,59,2,Matches
Rico Henry,eng ENG,DF,28-102,1.9,92,4,34,33,31,4,92,9,7,77.8,2,22.2,49,458,272,12,7,2,5,1,58,11,Matches
Kristoffer Ajer,no NOR,DF,27-184,1.3,66,3,22,35,9,3,66,0,0,,0,,35,183,105,0,0,0,1,1,44,0,Matches
Fabio Carvalho,pt POR,"FW,MF",23-049,1.1,38,1,3,22,14,2,38,3,1,33.3,2,66.7,15,94,31,2,1,0,1,1,18,5,Matches
Antoni Milambo,nl NED,MF,20-198,0.5,19,1,6,10,4,0,19,0,0,,0,,5,32,30,1,2,0,1,0,8,1,Matches
Frank Onyeka,ng NGA,MF,27-290,1.0,49,2,8,31,11,2,49,4,2,50.0,2,50.0,22,128,53,2,1,0,3,0,26,2,Matches
Vitaly Janelt,de GER,MF,27-161,0.5,36,0,6,15,15,1,36,0,0,,0,,15,51,20,0,1,0,1,0,22,0,Matches
Squad Total,,,25.3,7.0,3347,482,1356,1372,658,121,3345,120,46,38.3,61,50.8,1520,8251,4096,81,53,28,109,57,1858,152,
Opponent Total,,,26.4,7.0,4757,393,1310,2325,1156,172,4755,114,45,39.5,52,45.6,2867,14189,7722,141,100,31,115,65,3290,270,
